//ID	Name	Model	Propeller 1	Propeller 2	Propeller 3	Propeller 4	Price	Ship Durability Constant	Ship durability recovery constant	Ship defense constant	Ship Resist Constant	Ship Min Attack constant	Average ship maximum attack	Attack range constant	Reloading time constant	Average Cannon Splash Area	Cargo Capacity Constant	Ship fuel constant	Ship fuel consumption constant	Cannon flight speed constant	Ship movement speed constant	Description (Item level)	Remark
0104	Low level boat 2mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0105	Low level boat 3mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0106	Low level boat 4mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0107	Low level boat 5mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0108	Low level boat 6mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0109	Low level boat 7mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0110	Low level boat 8mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0111	Mobility of Boat 9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0112	Boat 10 Engine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0113	Refine Bow	0	0	0	0	0	2749	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0
0114	Top Graded Bow	0	0	0	0	0	3280	0	0	0	0	0	0	0	0	0	0	1100	0	0	0	0	0
0115	Colliding Bow	2000000001	0	0	0	0	3570	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
0116	Bow 11	2000000001	0	0	0	0	4200	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
0117	Bow 12	2000000001	0	0	0	0	4901	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
0118	Bow 13	2000010001	0	0	0	0	5280	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0119	Bow 14	2000010001	0	0	0	0	6095	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0120	Bow 15	2000010001	0	0	0	0	6990	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0121	Bow 16	2000020001	0	0	0	0	7470	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0122	Bow 17	2000020001	0	0	0	0	8493	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0123	Bow 18	2000020001	0	0	0	0	9607	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0124	Small Bow	0	0	0	0	0	720	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0
0125	Medium Bow	0	0	0	0	0	939	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0
0126	Hugh Bow	0	0	0	0	0	1201	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0
0127	Light Military Bow	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0
0128	Medium Navy Bow	0	0	0	0	0	1682	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0
0129	Navy Bow	0	0	0	0	0	2067	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0
0130	Light Battleship Bow	0	0	0	0	0	2280	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0
0131	Medium Galley Bow	0	0	0	0	0	2749	0	0	0	0	0	0	0	0	0	0	1060	0	0	0	0	0
0132	Galley Bow	0	0	0	0	0	3280	0	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	0
0133	Razor Bow	2001000001	0	0	0	0	3570	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
0134	Bow 29	2001000001	0	0	0	0	4200	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
0135	Bow 30	2001000001	0	0	0	0	4901	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
0136	Bow 31	2001010001	0	0	0	0	5280	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0137	Bow 32	2001010001	0	0	0	0	6095	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0138	Bow 33	2001010001	0	0	0	0	6990	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0139	Lone Triangle Baffle	2002000001	0	0	0	0	7470	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0140	Bow 35	2002000001	0	0	0	0	8493	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0141	Bow 36	2002000001	0	0	0	0	9607	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0142	Engine 8	2000000002	0022	0	0	0	5677	0	0	0	0	0	0	0	0	0	0	0	0	0	535	0	0
0143	Engine 9	2000010002	0023	0024	0025	0026	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	540	0	0
0144	Engine 10	2000010002	0023	0024	0025	0026	7618	0	0	0	0	0	0	0	0	0	0	0	0	0	545	0	0
0145	Engine 11	2000020002	0027	0028	0	0	9337	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0
0146	Bio Pontoon 10	0	0	0	0	0	900	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
0147	Bio Buoy Type 20	0	0	0	0	0	1331	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0	0
0148	OSM Swift Sail	0	0	0	0	0	1687	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
0149	Smooth Power Sail	0	0	0	0	0	2335	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0	0
0150	Bio Thrash 100	0	0	0	0	0	2850	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
0151	Bio Thrash 110	0	0	0	0	0	3758	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0
0152	Dual Hydro System	2001000002	0029	0030	0031	0	4462	0	0	0	0	0	0	0	0	0	0	0	0	0	555	0	0
0153	Engine 19	2001000002	0029	0030	0031	0	5677	0	0	0	0	0	0	0	0	0	0	0	0	0	560	0	0
0154	Engine 20	2001010002	0032	0033	0034	0035	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	565	0	0
0155	Engine 21	2001010002	0032	0033	0034	0035	7618	0	0	0	0	0	0	0	0	0	0	0	0	0	570	0	0
0156	Turbo Interpropeller	2002000002	0036	0037	0038	0039	9337	0	0	0	0	0	0	0	0	0	0	0	0	0	575	0	0
0157	OSM Multi-Pierce Cannon	0	0	0	0	0	1598	0	0	0	0	164	246	0	79	0	0	0	0	0	0	0	0
0158	OSM Dual Cannon	0	0	0	0	0	2025	0	0	0	0	170	256	0	85	0	0	0	0	0	0	0	0
0159	OSM Quad Cannon	0	0	0	0	0	2265	0	0	0	0	183	275	0	88	0	0	0	0	0	0	0	0
0160	OSM Fusion Cannon	0	0	0	0	0	2802	0	0	0	0	196	294	0	94	0	0	0	0	0	0	0	0
0161	OSM Penetrating Cannon	0	0	0	0	0	3420	0	0	0	0	202	303	0	100	0	0	0	0	0	0	0	0
0162	OSM Destroyer	0	0	0	0	0	3760	0	0	0	0	215	322	0	103	0	0	0	0	0	0	0	0
0163	OSM Devourer	0	0	0	0	0	4510	0	0	0	0	227	341	0	109	0	0	0	0	0	0	0	0
0164	OSM Multi-Pierce Cannon	0	0	0	0	0	5355	0	0	0	0	233	349	0	115	0	0	0	0	0	0	0	0
0165	Cannon 29	0	0	0	0	0	5814	0	0	0	0	246	369	0	118	0	0	0	0	0	0	0	0
0166	Fire Cannon 30	0	0	0	0	0	6812	0	0	0	0	257	386	0	124	0	0	0	0	0	0	0	0
0167	Cannon 31	0	0	0	0	0	7920	0	0	0	0	264	396	0	130	0	0	0	0	0	0	0	0
0168	Cannon 32	0	0	0	0	0	8516	0	0	0	0	276	415	0	100	0	0	0	0	0	0	0	0
0169	Cannon 33	0	0	0	0	0	9798	0	0	0	0	288	432	0	139	0	0	0	0	0	0	0	0
0170	OSM 500mm Galley Cannon	0	0	0	0	0	11205	0	0	0	0	294	441	0	145	0	0	0	0	0	0	0	0
0171	Cannon 35	0	0	0	0	0	11956	0	0	0	0	306	459	0	148	0	0	0	0	0	0	0	0
0172	Cannon 36	0	0	0	0	0	13559	0	0	0	0	318	478	0	154	0	0	0	0	0	0	0	0
0173	Component 21	0	0	0	0	0	7260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0174	Component 22	0	0	0	0	0	7806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0175	Component 23	0	0	0	0	0	8380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0176	Component 24	0	0	0	0	0	8982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0177	Component 25	0	0	0	0	0	9612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0178	Component 26	0	0	0	0	0	10271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0179	Component 27	0	0	0	0	0	10959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0180	Component 28	0	0	0	0	0	11679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0181	Component 29	0	0	0	0	0	12429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0182	Component 30	0	0	0	0	0	13210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0183	Component 31	0	0	0	0	0	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0184	Component 32	0	0	0	0	0	1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0185	Component 33	0	0	0	0	0	1292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0186	Component 34	0	0	0	0	0	1464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0187	Component 35	0	0	0	0	0	1652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0188	Component 36	0	0	0	0	0	1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0189	Component 37	0	0	0	0	0	2076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0190	Component 38	0	0	0	0	0	2313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0191	Component 39	0	0	0	0	0	2568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0192	Component 40	0	0	0	0	0	2842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0193	Component 41	0	0	0	0	0	3135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0194	Component 42	0	0	0	0	0	3447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0195	Component 43	0	0	0	0	0	3780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0196	Component 44	0	0	0	0	0	4134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0197	Component 45	0	0	0	0	0	4510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0198	Component 46	0	0	0	0	0	4908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0199	Component 47	0	0	0	0	0	5330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0200	Component 48	0	0	0	0	0	5775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0201	Component 49	0	0	0	0	0	6244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0202	Component 50	0	0	0	0	0	6739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0203	Component 51	0	0	0	0	0	7260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0204	Component 52	0	0	0	0	0	7806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0205	Component 53	0	0	0	0	0	8380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0206	Component 54	0	0	0	0	0	8982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0207	Component 55	0	0	0	0	0	9612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0208	Component 56	0	0	0	0	0	10271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0209	Component 57	0	0	0	0	0	10959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0210	Component 58	0	0	0	0	0	11679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0211	Component 59	0	0	0	0	0	12429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0212	Component 60	0	0	0	0	0	13210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
