//Serial	Name of Hairstyle	Color	Required item0	Required Item 1	Required Item 2	Required Item 3	Required gold	Related Model	Hairstyle mold failed	Usable character1	Usable Character 2	Usable Character 3	Usable Character 4	Item list ID	model denominate
48	Hairdo 7	Yellow	1807,1	1808,1	1799,5	1806,1	100000	2049	1999	1	0	0	0	2049	0000490001
49	Hairdo 7	Cyan	1807,1	1808,1	1800,5	1806,1	100000	2050	1999	1	0	0	0	2050	0000500001
50	Hairdo 7	Green	1807,1	1808,1	1801,5	1806,1	100000	2051	1999	1	0	0	0	2051	0000510001
51	Hairdo 7	Blue	1807,1	1808,1	1802,5	1806,1	100000	2052	1999	1	0	0	0	2052	0000520001
52	Hairdo 7	Purple	1807,1	1808,1	1803,5	1806,1	100000	2053	1999	1	0	0	0	2053	0000530001
53	Hairdo 8	Red	1807,1	1808,1	1797,5	1804,1	100000	2054	1999	1	0	0	0	2054	0000540001
54	Hairdo 8	Orange	1807,1	1808,1	1798,5	1804,1	100000	2055	1999	1	0	0	0	2055	0000550001
55	Hairdo 8	Yellow	1807,1	1808,1	1799,5	1804,1	100000	2056	1999	1	0	0	0	2056	0000560001
56	Hairdo 8	Cyan	1807,1	1808,1	1800,5	1804,1	100000	2057	1999	1	0	0	0	2057	0000570001
57	Hairdo 8	Green	1807,1	1808,1	1801,5	1804,1	100000	2058	1999	1	0	0	0	2058	0000580001
58	Hairdo 8	Blue	1807,1	1808,1	1802,5	1804,1	100000	2059	1999	1	0	0	0	2059	0000590001
59	Hairdo 8	Purple	1807,1	1808,1	1803,5	1804,1	100000	2007	1999	1	0	0	0	2007	0000070001
60	Hairdo 1	Black	1807,1	1809,1	4607,5	1805,1	100000	2062	2121	0	1	0	0	2062	0001000001
61	Hairdo 1	Red	1807,1	1809,1	1797,5	1805,1	100000	2071	2121	0	1	0	0	2071	0001090001
62	Hairdo 1	Orange	1807,1	1809,1	1798,5	1805,1	100000	2072	2121	0	1	0	0	2072	0001100001
63	Hairdo 1	Yellow	1807,1	1809,1	1799,5	1805,1	100000	2073	2121	0	1	0	0	2073	0001110001
64	Hairdo 1	Cyan	1807,1	1809,1	1800,5	1805,1	100000	2074	2121	0	1	0	0	2074	0001120001
65	Hairdo 1	Green	1807,1	1809,1	1801,5	1805,1	100000	2075	2121	0	1	0	0	2075	0001130001
66	Hairdo 1	Blue	1807,1	1809,1	1802,5	1805,1	100000	2076	2121	0	1	0	0	2076	0001140001
67	Hairdo 1	Purple	1807,1	1809,1	1803,5	1805,1	100000	2077	2121	0	1	0	0	2077	0001150001
68	Hairdo 2	Red	1807,1	1809,1	1797,5	1806,1	100000	2078	2121	0	1	0	0	2078	0001160001
69	Hairdo 2	Orange	1807,1	1809,1	1798,5	1806,1	100000	2079	2121	0	1	0	0	2079	0001170001
70	Hairdo 2	Yellow	1807,1	1809,1	1799,5	1806,1	100000	2063	2121	0	1	0	0	2063	0001010001
71	Hairdo 2	Cyan	1807,1	1809,1	1800,5	1806,1	100000	2080	2121	0	1	0	0	2080	0001180001
72	Hairdo 2	Green	1807,1	1809,1	1801,5	1806,1	100000	2081	2121	0	1	0	0	2081	0001190001
73	Hairdo 2	Blue	1807,1	1809,1	1802,5	1806,1	100000	2082	2121	0	1	0	0	2082	0001200001
74	Hairdo 2	Purple	1807,1	1809,1	1803,5	1806,1	100000	2083	2121	0	1	0	0	2083	0001210001
75	Hairdo 3	Red	1807,1	1809,1	1797,5	1804,1	100000	2084	2121	0	1	0	0	2084	0001220001
76	Hairdo 3	Orange	1807,1	1809,1	1798,5	1804,1	100000	2085	2121	0	1	0	0	2085	0001230001
77	Hairdo 3	Yellow	1807,1	1809,1	1799,5	1804,1	100000	2064	2121	0	1	0	0	2064	0001020001
78	Hairdo 3	Cyan	1807,1	1809,1	1800,5	1804,1	100000	2086	2121	0	1	0	0	2086	0001240001
79	Hairdo 3	Green	1807,1	1809,1	1801,5	1804,1	100000	2087	2121	0	1	0	0	2087	0001250001
80	Hairdo 3	Blue	1807,1	1809,1	1802,5	1804,1	100000	2088	2121	0	1	0	0	2088	0001260001
81	Hairdo 3	Purple	1807,1	1809,1	1803,5	1804,1	100000	2089	2121	0	1	0	0	2089	0001270001
82	Hairdo 4	Black	1807,1	1809,1	4607,5	1805,1	100000	2065	2121	0	1	0	0	2065	0001030001
83	Hairdo 4	Red	1807,1	1809,1	1797,5	1805,1	100000	2090	2121	0	1	0	0	2090	0001280001
84	Hairdo 4	Orange	1807,1	1809,1	1798,5	1805,1	100000	2091	2121	0	1	0	0	2091	0001290001
85	Hairdo 4	Yellow	1807,1	1809,1	1799,5	1805,1	100000	2092	2121	0	1	0	0	2092	0001300001
86	Hairdo 4	Cyan	1807,1	1809,1	1800,5	1805,1	100000	2093	2121	0	1	0	0	2093	0001310001
87	Hairdo 4	Green	1807,1	1809,1	1801,5	1805,1	100000	2094	2121	0	1	0	0	2094	0001320001
88	Hairdo 4	Blue	1807,1	1809,1	1802,5	1805,1	100000	2095	2121	0	1	0	0	2095	0001330001
89	Hairdo 4	Purple	1807,1	1809,1	1803,5	1805,1	100000	2096	2121	0	1	0	0	2096	0001340001
90	Hairdo 5	None	1807,1	1809,1	4607,5	1804,1	100000	2066	2121	0	1	0	0	2066	0001040001
91	Hairdo 5	Black	1807,1	1809,1	4607,5	1806,1	100000	2097	2121	0	1	0	0	2097	0001350001
92	Hairdo 5	Red	1807,1	1809,1	1797,5	1806,1	100000	2098	2121	0	1	0	0	2098	0001360001
93	Hairdo 5	Blue	1807,1	1809,1	1802,5	1806,1	100000	2099	2121	0	1	0	0	2099	0001370001
94	Hairdo 5	Cyan	1807,1	1809,1	1800,5	1806,1	100000	2100	2121	0	1	0	0	2100	0001380001
95	Hairdo 6	Black	1807,1	1809,1	4607,5	1804,1	100000	2067	2121	0	1	0	0	2067	0001050001
96	Hairdo 6	Red	1807,1	1809,1	1797,5	1804,1	100000	2101	2121	0	1	0	0	2101	0001390001
97	Hairdo 6	Orange	1807,1	1809,1	1798,5	1804,1	100000	2102	2121	0	1	0	0	2102	0001400001
98	Hairdo 6	Yellow	1807,1	1809,1	1799,5	1804,1	100000	2103	2121	0	1	0	0	2103	0001410001
99	Hairdo 6	Cyan	1807,1	1809,1	1800,5	1804,1	100000	2104	2121	0	1	0	0	2104	0001420001
100	Hairdo 6	Green	1807,1	1809,1	1801,5	1804,1	100000	2105	2121	0	1	0	0	2105	0001430001
101	Hairdo 6	Blue	1807,1	1809,1	1802,5	1804,1	100000	2106	2121	0	1	0	0	2106	0001440001
102	Hairdo 6	Purple	1807,1	1809,1	1803,5	1804,1	100000	2107	2121	0	1	0	0	2107	0001450001
103	Hairdo 7	Red	1807,1	1809,1	1797,5	1805,1	100000	2108	2121	0	1	0	0	2108	0001460001
104	Hairdo 7	Orange	1807,1	1809,1	1798,5	1805,1	100000	2109	2121	0	1	0	0	2109	0001470001
105	Hairdo 7	Yellow	1807,1	1809,1	1799,5	1805,1	100000	2110	2121	0	1	0	0	2110	0001480001
106	Hairdo 7	Cyan	1807,1	1809,1	1800,5	1805,1	100000	2111	2121	0	1	0	0	2111	0001490001
107	Hairdo 7	Green	1807,1	1809,1	1801,5	1805,1	100000	2112	2121	0	1	0	0	2112	0001500001
108	Hairdo 7	Blue	1807,1	1809,1	1802,5	1805,1	100000	2113	2121	0	1	0	0	2113	0001510001
109	Hairdo 7	Purple	1807,1	1809,1	1803,5	1805,1	100000	2068	2121	0	1	0	0	2068	0001060001
110	Hairdo 8	White	1807,1	1809,1	4610,5	1806,1	100000	2069	2121	0	1	0	0	2069	0001070001
111	Hairdo 8	Red	1807,1	1809,1	1797,5	1806,1	100000	2114	2121	0	1	0	0	2114	0001520001
112	Hairdo 8	Orange	1807,1	1809,1	1798,5	1806,1	100000	2115	2121	0	1	0	0	2115	0001530001
113	Hairdo 8	Yellow	1807,1	1809,1	1799,5	1806,1	100000	2116	2121	0	1	0	0	2116	0001540001
114	Hairdo 8	Cyan	1807,1	1809,1	1800,5	1806,1	100000	2117	2121	0	1	0	0	2117	0001550001
115	Hairdo 8	Green	1807,1	1809,1	1801,5	1806,1	100000	2118	2121	0	1	0	0	2118	0001560001
116	Hairdo 8	Blue	1807,1	1809,1	1802,5	1806,1	100000	2119	2121	0	1	0	0	2119	0001570001
117	Hairdo 8	Purple	1807,1	1809,1	1803,5	1806,1	100000	2120	2121	0	1	0	0	2120	0001580001
118	Hairdo 1	Brown	1807,1	1810,1	4609,5	1804,1	100000	2124	2182	0	0	1	0	2124	0002000001
119	Hairdo 1	Red	1807,1	1810,1	1797,5	1804,1	100000	2133	2182	0	0	1	0	2133	0002090001
120	Hairdo 1	Orange	1807,1	1810,1	1798,5	1804,1	100000	2134	2182	0	0	1	0	2134	0002100001
121	Hairdo 1	Yellow	1807,1	1810,1	1799,5	1804,1	100000	2135	2182	0	0	1	0	2135	0002110001
122	Hairdo 1	Cyan	1807,1	1810,1	1800,5	1804,1	100000	2136	2182	0	0	1	0	2136	0002120001
123	Hairdo 1	Green	1807,1	1810,1	1801,5	1804,1	100000	2137	2182	0	0	1	0	2137	0002130001
124	Hairdo 1	Blue	1807,1	1810,1	1802,5	1804,1	100000	2138	2182	0	0	1	0	2138	0002140001
125	Hairdo 1	Purple	1807,1	1810,1	1803,5	1804,1	100000	2139	2182	0	0	1	0	2139	0002150001
126	Hairdo 2	Red	1807,1	1810,1	1797,5	1805,1	100000	2140	2182	0	0	1	0	2140	0002160001
127	Hairdo 2	Orange	1807,1	1810,1	1798,5	1805,1	100000	2141	2182	0	0	1	0	2141	0002170001
128	Hairdo 2	Yellow	1807,1	1810,1	1799,5	1805,1	100000	2125	2182	0	0	1	0	2125	0002010001
129	Hairdo 2	Cyan	1807,1	1810,1	1800,5	1805,1	100000	2142	2182	0	0	1	0	2142	0002180001
130	Hairdo 2	Green	1807,1	1810,1	1801,5	1805,1	100000	2143	2182	0	0	1	0	2143	0002190001
131	Hairdo 2	Blue	1807,1	1810,1	1802,5	1805,1	100000	2144	2182	0	0	1	0	2144	0002200001
132	Hairdo 2	Purple	1807,1	1810,1	1803,5	1805,1	100000	2145	2182	0	0	1	0	2145	0002210001
133	Hairdo 3	Red	1807,1	1810,1	1797,5	1806,1	100000	2146	2182	0	0	1	0	2146	0002220001
134	Hairdo 3	Orange	1807,1	1810,1	1798,5	1806,1	100000	2147	2182	0	0	1	0	2147	0002230001
135	Hairdo 3	Yellow	1807,1	1810,1	1799,5	1806,1	100000	2148	2182	0	0	1	0	2148	0002240001
136	Hairdo 3	Cyan	1807,1	1810,1	1800,5	1806,1	100000	2149	2182	0	0	1	0	2149	0002250001
137	Hairdo 3	Green	1807,1	1810,1	1801,5	1806,1	100000	2150	2182	0	0	1	0	2150	0002260001
138	Hairdo 3	Blue	1807,1	1810,1	1802,5	1806,1	100000	2126	2182	0	0	1	0	2126	0002020001
139	Hairdo 3	Purple	1807,1	1810,1	1803,5	1806,1	100000	2151	2182	0	0	1	0	2151	0002270001
140	Hairdo 4	Red	1807,1	1810,1	1797,5	1804,1	100000	2127	2182	0	0	1	0	2127	0002030001
141	Hairdo 4	Orange	1807,1	1810,1	1798,5	1804,1	100000	2152	2182	0	0	1	0	2152	0002280001
142	Hairdo 4	Yellow	1807,1	1810,1	1799,5	1804,1	100000	2153	2182	0	0	1	0	2153	0002290001
143	Hairdo 4	Cyan	1807,1	1810,1	1800,5	1804,1	100000	2154	2182	0	0	1	0	2154	0002300001
144	Hairdo 4	Green	1807,1	1810,1	1801,5	1804,1	100000	2155	2182	0	0	1	0	2155	0002310001
145	Hairdo 4	Blue	1807,1	1810,1	1802,5	1804,1	100000	2156	2182	0	0	1	0	2156	0002320001
146	Hairdo 4	Purple	1807,1	1810,1	1803,5	1804,1	100000	2157	2182	0	0	1	0	2157	0002330001
147	Hairdo 5	Red	1807,1	1810,1	1797,5	1805,1	100000	2158	2182	0	0	1	0	2158	0002340001
148	Hairdo 5	Orange	1807,1	1810,1	1798,5	1805,1	100000	2159	2182	0	0	1	0	2159	0002350001
149	Hairdo 5	Yellow	1807,1	1810,1	1799,5	1805,1	100000	2160	2182	0	0	1	0	2160	0002360001
150	Hairdo 5	Cyan	1807,1	1810,1	1800,5	1805,1	100000	2161	2182	0	0	1	0	2161	0002370001
151	Hairdo 5	Green	1807,1	1810,1	1801,5	1805,1	100000	2162	2182	0	0	1	0	2162	0002380001
152	Hairdo 5	Blue	1807,1	1810,1	1802,5	1805,1	100000	2128	2182	0	0	1	0	2128	0002040001
153	Hairdo 5	Purple	1807,1	1810,1	1803,5	1805,1	100000	2163	2182	0	0	1	0	2163	0002390001
154	Hairdo 6	Red	1807,1	1810,1	1797,5	1806,1	100000	2164	2182	0	0	1	0	2164	0002400001
155	Hairdo 6	Orange	1807,1	1810,1	1798,5	1806,1	100000	2165	2182	0	0	1	0	2165	0002410001
156	Hairdo 6	Yellow	1807,1	1810,1	1799,5	1806,1	100000	2166	2182	0	0	1	0	2166	0002420001
157	Hairdo 6	Cyan	1807,1	1810,1	1800,5	1806,1	100000	2167	2182	0	0	1	0	2167	0002430001
158	Hairdo 6	Green	1807,1	1810,1	1801,5	1806,1	100000	2168	2182	0	0	1	0	2168	0002440001
159	Hairdo 6	Blue	1807,1	1810,1	1802,5	1806,1	100000	2169	2182	0	0	1	0	2169	0002450001
160	Hairdo 6	Purple	1807,1	1810,1	1803,5	1806,1	100000	2129	2182	0	0	1	0	2129	0002050001
161	Hairdo 7	Red	1807,1	1810,1	1797,5	1804,1	100000	2170	2182	0	0	1	0	2170	0002460001
162	Hairdo 7	Orange	1807,1	1810,1	1798,5	1804,1	100000	2171	2182	0	0	1	0	2171	0002470001
163	Hairdo 7	Yellow	1807,1	1810,1	1799,5	1804,1	100000	2172	2182	0	0	1	0	2172	0002480001
164	Hairdo 7	Cyan	1807,1	1810,1	1800,5	1804,1	100000	2173	2182	0	0	1	0	2173	0002490001
165	Hairdo 7	Green	1807,1	1810,1	1801,5	1804,1	100000	2174	2182	0	0	1	0	2174	0002500001
166	Hairdo 7	Blue	1807,1	1810,1	1802,5	1804,1	100000	2130	2182	0	0	1	0	2130	0002060001
167	Hairdo 7	Purple	1807,1	1810,1	1803,5	1804,1	100000	2175	2182	0	0	1	0	2175	0002510001
168	Hairdo 8	Red	1807,1	1810,1	1797,5	1805,1	100000	2176	2182	0	0	1	0	2176	0002520001
169	Hairdo 8	Orange	1807,1	1810,1	1798,5	1805,1	100000	2131	2182	0	0	1	0	2131	0002070001
170	Hairdo 8	Yellow	1807,1	1810,1	1799,5	1805,1	100000	2177	2182	0	0	1	0	2177	0002530001
171	Hairdo 8	Cyan	1807,1	1810,1	1800,5	1805,1	100000	2178	2182	0	0	1	0	2178	0002540001
172	Hairdo 8	Green	1807,1	1810,1	1801,5	1805,1	100000	2179	2182	0	0	1	0	2179	0002550001
173	Hairdo 8	Blue	1807,1	1810,1	1802,5	1805,1	100000	2180	2182	0	0	1	0	2180	0002560001
174	Hairdo 8	Purple	1807,1	1810,1	1803,5	1805,1	100000	2181	2182	0	0	1	0	2181	0002570001
175	Hairdo 1 	Red	1807,1	1811,1	1797,5	1806,1	100000	2247	2271	0	0	0	1	2247	0003880001
176	Hairdo 1 	Orange	1807,1	1811,1	1798,5	1806,1	100000	2291	2271	0	0	0	1	2291	0003620001
177	Hairdo 1 	Yellow	1807,1	1811,1	1799,5	1806,1	100000	2248	2271	0	0	0	1	2248	0003890001
178	Hairdo 1 	Cyan	1807,1	1811,1	1800,5	1806,1	100000	2249	2271	0	0	0	1	2249	0003900001
179	Hairdo 1 	Green	1807,1	1811,1	1801,5	1806,1	100000	2250	2271	0	0	0	1	2250	0003910001
180	Hairdo 1 	Blue	1807,1	1811,1	1802,5	1806,1	100000	2251	2271	0	0	0	1	2251	0003660001
181	Hairdo 1 	Purple	1807,1	1811,1	1803,5	1806,1	100000	2252	2271	0	0	0	1	2252	0003670001
182	Hairdo 2	Red	1807,1	1811,1	1797,5	1804,1	100000	2253	2271	0	0	0	1	2253	0003680001
183	Hairdo 2	Orange	1807,1	1811,1	1798,5	1804,1	100000	2292	2271	0	0	0	1	2292	0003630001
184	Hairdo 2	Yellow	1807,1	1811,1	1799,5	1804,1	100000	2254	2271	0	0	0	1	2254	0003690001
185	Hairdo 2	Cyan	1807,1	1811,1	1800,5	1804,1	100000	2255	2271	0	0	0	1	2255	0003700001
186	Hairdo 2	Green	1807,1	1811,1	1801,5	1804,1	100000	2256	2271	0	0	0	1	2256	0003710001
187	Hairdo 2	Blue	1807,1	1811,1	1802,5	1804,1	100000	2257	2271	0	0	0	1	2257	0003720001
188	Hairdo 2	Purple	1807,1	1811,1	1803,5	1804,1	100000	2258	2271	0	0	0	1	2258	0003730001
189	Hairdo 3	Red	1807,1	1811,1	1797,5	1805,1	100000	2259	2271	0	0	0	1	2259	0003740001
190	Hairdo 3	Orange	1807,1	1811,1	1798,5	1805,1	100000	2293	2271	0	0	0	1	2293	0003640001
191	Hairdo 3	Yellow	1807,1	1811,1	1799,5	1805,1	100000	2260	2271	0	0	0	1	2260	0003750001
192	Hairdo 3	Cyan	1807,1	1811,1	1800,5	1805,1	100000	2261	2271	0	0	0	1	2261	0003760001
193	Hairdo 3	Green	1807,1	1811,1	1801,5	1805,1	100000	2262	2271	0	0	0	1	2262	0003770001
194	Hairdo 3	Blue	1807,1	1811,1	1802,5	1805,1	100000	2263	2271	0	0	0	1	2263	0003780001
195	Hairdo 3	Purple	1807,1	1811,1	1803,5	1805,1	100000	2264	2271	0	0	0	1	2264	0003790001
196	Hairdo 4	Red	1807,1	1811,1	1797,5	1806,1	100000	2265	2271	0	0	0	1	2265	0003800001
197	Hairdo 4	Orange	1807,1	1811,1	1798,5	1806,1	100000	2294	2271	0	0	0	1	2294	0003650001
198	Hairdo 4	Yellow	1807,1	1811,1	1799,5	1806,1	100000	2266	2271	0	0	0	1	2266	0003810001
199	Hairdo 4	Cyan	1807,1	1811,1	1800,5	1806,1	100000	2267	2271	0	0	0	1	2267	0003820001
200	Hairdo 4	Green	1807,1	1811,1	1801,5	1806,1	100000	2268	2271	0	0	0	1	2268	0003830001
201	Hairdo 4	Blue	1807,1	1811,1	1802,5	1806,1	100000	2269	2271	0	0	0	1	2269	0003840001
202	Hairdo 4	Purple	1807,1	1811,1	1803,5	1806,1	100000	2270	2271	0	0	0	1	2270	0003850001
203	Lance Trendy Hairdo 1	Black	1807,1	0931,1	4607,20	1806,10	100000	2276	1999	1	0	0	0	2276	0000630001
204	Lance Trendy Hairdo 1	Red	1807,1	0931,1	1797,20	1806,10	100000	5674	1999	1	0	0	0	5674	0000630011
205	Lance Trendy Hairdo 1	Blue	1807,1	0931,1	1802,20	1806,10	100000	5675	1999	1	0	0	0	5680	0000630021
206	Lance Trendy Hairdo 1	Yellow	1807,1	0931,1	1799,20	1806,10	100000	5676	1999	1	0	0	0	5679	0000630031
207	Lance Trendy Hairdo 1	Green	1807,1	0931,1	1800,20	1806,10	100000	5677	1999	1	0	0	0	5676	0000630041
208	Lance Trendy Hairdo 2	Black	1807,1	0931,1	4607,20	1805,10	100000	2278	1999	1	0	0	0	2278	0000650001
209	Lance Trendy Hairdo 2	Red	1807,1	0931,1	1797,20	1805,10	100000	5678	1999	1	0	0	0	5678	0000650011
210	Lance Trendy Hairdo 2	Blue	1807,1	0931,1	1802,20	1805,10	100000	5679	1999	1	0	0	0	5679	0000650021
211	Lance Trendy Hairdo 2	Yellow	1807,1	0931,1	1799,20	1805,10	100000	5680	1999	1	0	0	0	5680	0000650031
212	Lance Trendy Hairdo 2	Green	1807,1	0931,1	1800,20	1805,10	100000	5681	1999	1	0	0	0	5681	0000650041
213	Lance Trendy Hairdo 3	Black	1807,1	0931,1	4607,20	1805,10	100000	2277	1999	1	0	0	0	2277	0000640001
214	Lance Trendy Hairdo 3	Red	1807,1	0931,1	1797,20	1805,10	100000	5682	1999	1	0	0	0	5682	0000640011
215	Lance Trendy Hairdo 3	Blue	1807,1	0931,1	1802,20	1805,10	100000	5683	1999	1	0	0	0	5683	0000640021
216	Lance Trendy Hairdo 3	Yellow	1807,1	0931,1	1799,20	1805,10	100000	5684	1999	1	0	0	0	5684	0000640031
217	Lance Trendy Hairdo 3	Green	1807,1	0931,1	1800,20	1805,10	100000	5685	1999	1	0	0	0	5685	0000640041
218	Lance Trendy Hairdo 4	Black	1807,1	0931,1	4607,20	1805,10	100000	2275	1999	1	0	0	0	2275	0000620001
219	Lance Trendy Hairdo 4	Red	1807,1	0931,1	1797,20	1805,10	100000	5686	1999	1	0	0	0	5686	0000620011
220	Lance Trendy Hairdo 4	Blue	1807,1	0931,1	1802,20	1805,10	100000	5687	1999	1	0	0	0	5687	0000620021
221	Lance Trendy Hairdo 4	Yellow	1807,1	0931,1	1799,20	1805,10	100000	5688	1999	1	0	0	0	5688	0000620031
222	Lance Trendy Hairdo 4	Green	1807,1	0931,1	1800,20	1805,10	100000	5689	1999	1	0	0	0	5689	0000620041
223	Carsise Trendy Hairdo 1	Yellow	1807,1	0932,1	1799,20	1806,10	100000	2280	2121	0	1	0	0	2280	0003830001
224	Carsise Trendy Hairdo 2	Black	1807,1	0932,1	4607,20	1805,10	100000	2282	2121	0	1	0	0	2282	0003850001
225	Phyllis Trendy Hairdo 1	Black	1807,1	0933,1	4607,20	1806,10	100000	2284	2182	0	0	1	0	2284	0002600001
226	Phyllis Trendy Hairdo 1	Red	1807,1	0933,1	1803,20	1806,10	100000	5690	2182	0	0	1	0	5690	0002600011
227	Phyllis Trendy Hairdo 1	Blue	1807,1	0933,1	1802,20	1806,10	100000	5691	2182	0	0	1	0	5691	0002600021
228	Phyllis Trendy Hairdo 1	Yellow	1807,1	0933,1	1799,20	1806,10	100000	5692	2182	0	0	1	0	5692	0002600031
229	Phyllis Trendy Hairdo 1	Green	1807,1	0933,1	1800,20	1806,10	100000	5693	2182	0	0	1	0	5693	0002600041
230	Phyllis Trendy Hairdo 2	Red	1807,1	0933,1	1797,20	1805,10	100000	2286	2182	0	0	1	0	2286	0002620001
