//ID	模型文件	中文名称	Image Name	flag	ObjTypeID	dummy	dummy2	高度偏移	播放时间	LightID	基准值
111	01010002.par	Magma Bullet 地面命中	Sea Wave	0	0	-1	1	0	1	0	-1
112	01030001.par	Magma Bullet 地面持续	Sea Wave	0	0	-1	-1	0	1	0	-1
113	heallight.pa	Greater Heal 施放	Sea Wave	0	0	-1	1	0	1	0	-1
114	01020007.par	Greater Heal 命中	Sea Wave	0	0	-1	-1	0	1	0	-1
115	01050013.par	Magma Bullet 人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
116	01040024.par	Tiger Roar 人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
117	spire01.par	Berserk 施放	海浪	0	0	-1	-1	0	1	0	-1
118	ragefire.par	Berserk 人物持续	海浪	0	0	-1	-1	0	1	0	-1
119	01000007.par	图腾招唤施放	Sea Wave	0	0	-1	-1	0	1	0	-1
120	01020008.par	图腾招唤人物命中	Sea Wave	0	0	-1	-1	0	1	0	-1
121	hide01.par	隐月流Stealth 术施放	海浪	0	0	-1	-1	0	1	0	-1
122	01000009.par	伊贺鬼轮斩施放	Sea Wave	0	0	-1	-1	0	1	0	-1
123	01040002.par	伊贺鬼轮斩人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
124	01000010.par	伊贺流Backstab 杀施放	Sea Wave	0	0	-1	-1	0	1	0	-1
125	01020009.par	伊贺流Backstab 杀人物命中	Sea Wave	0	0	-1	1	0	1	0	-1
126	01000011.par	伊贺流刺盲术施放	Sea Wave	0	0	-1	-1	0	1	0	-1
127	01040003.par	伊贺流刺盲术人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
128	01020010.par	Diligence 术人物命中	海浪	0	0	-1	-1	0	1	0	-1
129	01020011.par	冰霜护盾人物命中	Sea Wave	0	0	-1	-1	0	1	0	-1
130	critical.par	Double Damage	Sea Wave	0	0	-1	-1	0	1	0	-1
131	01030006.par	受到伤害	Sea Wave	0	0	-1	1	0	1	0	-1
132	01030007.par	Levelup	Sea Wave	0	0	-1	-1	0	1	0	-1
133	01030008.par	HP Recover	Sea Wave	0	0	-1	-1	0	1	0	-1
134	01030009.par	SP recovery	Sea Wave	0	0	-1	-1	0	1	0	-1
135	01040004.par	冰霜护盾人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
136	01000012.par	Parry 施放	海浪	0	0	-1	-1	0	1	0	-1
137	01000013.par	丛林穿越施放	Sea Wave	0	0	-1	-1	0	1	0	-1
138	01040005.par	丛林穿越人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
139	01000014.par	慧星强击施放	Sea Wave	0	0	-1	-1	0	1	0	-1
140	01020012.par	慧星强击人物命中	Sea Wave	0	0	-1	-1	0	1	0	-1
141	01000015.par	宠物理疗施放	Sea Wave	0	0	-1	-1	0	1	0	-1
142	04000010.par	Cripple 射击释放	海浪	0	0	-2	-1	0	1	0	-1
143	01040006.par	Cripple 持续	海浪	0	0	-1	-1	0	1	0	-1
144	01020013.par	Cripple 命中	海浪	0	0	-1	-1	0	1	0	-1
145	01000017.par	火焰喷射施放	Sea Wave	0	0	-1	-1	0	1	0	-1
146	01040007.par	火焰喷射人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
147	01040008.par	Headshot Duration	Sea Wave	0	0	-1	-1	0	1	0	-1
148	01020014.par	Recover Hit Rate	Sea Wave	0	0	-1	-1	0	1	0	-1
149	01010003.par	Greater Recover 地面命中	海浪	0	0	-1	1	0	1	0	-1
150	01000018.par	烈焰之翼施放	Sea Wave	0	0	-1	-1	0	1	0	-1
151	01020015.par	烈焰之翼人物命中	Sea Wave	0	0	-1	-1	0	1	0	-1
152	01040009.par	烈焰之翼人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
153	01020016.par	圣火之光人物命中	Sea Wave	0	0	-1	-1	0	1	0	-1
154	01040010.par	圣火之光人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
155	01020017.par	Spiritual Fire 人物命中	Sea Wave	0	0	-1	-1	0	1	0	-1
156	01040011.par	Spiritual Fire 人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
157	firelighting02.par	Cursed Fire 释放	海浪	0	0	-1	-1	0	1	0	-1
158	fireghosth.par	Cursed Fire 人物持续	海浪	0	0	-1	-1	0	1	0	-1
159	angel.par	Angelic Shield	Sea Wave	0	0	-1	-1	0	1	0	-1
160	01000019.par	Angelic Shield 人物命中	Sea Wave	0	0	-1	-1	0	1	0	-1
161	01040034.par	Angelic Shield 人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
162	01020020.par	圣职纹章人物命中	Sea Wave	0	0	-1	-1	0	1	0	-1
163	01040014.par	圣职纹章人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
164	01020021.par	天使祈愿人物命中	Sea Wave	0	0	-1	-1	0	1	0	-1
165	spahurt.par	Healing Spring 地面持续	Sea Wave	0	0	-1	-1	0	1	0	-1
166	01040033.par	Healing Spring 人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
167	01000020.par	幸运之光施放	Sea Wave	0	0	-1	-1	0	1	0	-1
168	01020022.par	幸运之光人物命中	Sea Wave	0	0	-1	-1	0	1	0	-1
169	01040016.par	幸运之光人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
170	01020040.par	Tempest Boost 人物命中	海浪	0	0	-1	1	0	1	0	-1
171	01020024.par	急速风暴人物命中	Sea Wave	0	0	-1	-1	0	1	0	-1
172	01040017.par	急速风暴人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
173	01030003.par	Counterguard 地面持续	Sea Wave	0	0	-1	-1	0	1	0	-1
174	01040018.par	Counterguard 人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
175	feye.par	True Sight 施放	Sea Wave	0	0	-1	-1	0	1	0	-1
176	01000021.par	True Sight 人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
177	01020025.par	Seal of Elder 人物命中	海浪	0	0	-1	-1	0	1	0	-1
178	01040020.par	Seal of Elder 人物持续	海浪	0	0	-1	-1	0	1	0	-1
179	shadow01.par	Shadow Insignia 地面命中	海浪	0	0	-1	-1	0	1	0	-1
180	shadowh.par	Shadow Insignia 人物持续	海浪	0	0	-1	-1	0	1	0	-1
181	01020027.par	十字束缚人物命中	Sea Wave	0	0	-1	-1	0	1	0	-1
182	01040022.par	十字束缚人物持续	Sea Wave	0	0	-1	-1	0	1	0	-1
183	01000022.par	回复天使施放	Sea Wave	0	0	-1	-1	0	1	0	-1
184	01010004.par	回复天使地面命中	Sea Wave	0	0	-1	1	0	1	0	-1
185	fireghostt.par	Cursed Fire 地面命中	海浪	0	0	-1	-1	0	1	0	-1
186	01000014.par	Illusion Slash 施放	Sea Wave	0	0	-1	-1	0	1	0	-1
187	bang02.par	Mighty Strike 施放	Sea Wave	0	0	-1	-1	0	1	0	-1
188	01000025.par	Primal Fist Unleashed	Sea Wave	0	0	-1	-1	0	1	0	-1
189	01000026.par	Frozen Arrow 施放	Sea Wave	0	0	-1	-1	0	1	0	-1
190	hpushf.par	Spiritual Bolt 施放	Sea Wave	0	0	-1	-1	0	1	0	-1
191	01000028.par	Spiritual Fire 施放	Sea Wave	0	0	-1	-1	0	1	0	-1
192	01000029.par	Tempest Boost 施放	Sea Wave	0	0	-1	-1	0	1	0	-1
193	01000030.par	Tornado Swirl 施放	Sea Wave	0	0	-1	-1	0	1	0	-1
194	angel1.par	Angelic Shield 道具释放	Sea Wave	0	0	-1	-1	0	1	0	-1
195	01020028.par	Illusion Slash Hit Rate	Sea Wave	0	0	-1	-1	0	1	0	-1
196	bang.par	Mighty Strike 命中	Sea Wave	0	0	-1	-1	0	1	0	-1
197	01020030.par	兽王之拳命中	Sea Wave	0	0	-1	-1	0	1	0	-1
198	poisont.par	毒标命中	Sea Wave	0	0	-1	-1	0	1	0	-1
199	01020032.par	Numb Hit Rate	Sea Wave	0	0	-1	-1	0	1	0	-1
200	01020033.par	Frozen Arrow 命中	Sea Wave	0	0	-1	-1	0	1	0	-1
201	01020034.par	Spiritual Bolt 命中	Sea Wave	0	0	-1	1	0	1	0	-1
202	01020035.par	Spiritual Fire 命中	Sea Wave	0	0	-1	-1	0	1	0	-1
203	01020036.par	急速风暴命中	Sea Wave	0	0	-1	-1	0	1	0	-1
204	seal.par	Angelic Shield 命中	Sea Wave	0	0	-1	-1	0	1	0	-1
205	01020038.par	Seal of Elder 命中	Sea Wave	0	0	-1	-1	0	1	0	-1
206	01040011.par	Spiritual Fire 持续	Sea Wave	0	0	-1	-1	0	1	0	-1
207	01040025.par	Tempest Boost 持续	Sea Wave	0	0	-1	-1	0	1	0	-1
208	01040035.par	急速风暴持续	Sea Wave	0	0	-1	-1	0	1	0	-1
209	01040027.par	Angelic Shield 持续	Sea Wave	0	0	-1	-1	0	1	0	-1
210	01040028.par	技能禁止持续	Sea Wave	0	0	-1	-1	0	1	0	-1
211	barrierh.par	Energy Shield 持续	Sea Wave	0	0	-1	-1	0	1	0	-1
212	01040030.par	Frozen Arrow 持续	Sea Wave	0	0	-1	-1	0	1	0	-1
213	01000032.par	Eagle's Eye 释放	Sea Wave	0	0	-1	-1	0	1	0	-1
214	01040032.par	Eagle's Eye 持续	Sea Wave	0	0	-1	-1	0	1	0	-1
215	01020044.par	Eagle's Eye 命中	Sea Wave	0	0	-1	-1	0	1	0	-1
216	01050021.par	Mining 特效	Sea Wave	0	0	-1	-1	0	1	0	-1
217	01030010.par	普通刀光幻影	Sea Wave	0	0	-1	-1	0	1	0	-1
218	swordlight02.par	刀光02	Sea Wave	0	0	-1	-1	0	1	0	-1
219	01000011.par	小Recover 释放	海浪	0	0	-1	-1	0	1	0	-1
220	swordlightj.par	刀光	Sea Wave	0	0	-1	-1	0	1	0	-1

226	01010505.par	Octopus 技能命中	海浪	0	0	-1	-1	0	1	0	-1
227	01010506.par	针刺曼陀罗命中	Sea Wave	0	0	-2	-1	0	1	0	-1
229	01030006.par	飞熊猫命中	Sea Wave	0	0	-1	-1	0	1	0	-1
230	01010511.par	地精长老命中	Sea Wave	0	0	-1	-1	0	1	0	-1
231	01010510.par	水精灵命中	Sea Wave	0	0	-1	-1	0	1	0	-1
232	01010513.par	Oyster命中	Sea Wave	0	0	-1	-1	0	1	0	-1
233	01010507.par	小冰龙命中	Sea Wave	0	0	-1	-1	0	1	0	-1
234	01010508.par	大冰龙命中	Sea Wave	0	0	-1	-1	0	1	0	-1
235	01010514.par	射水贝命中	Sea Wave	0	0	-1	-1	0	1	0	-1
236	firegush.par	Berserk 命中	海浪	0	0	-1	-1	0	1	0	-1
237	abysm02.par	深渊沼泽释放	Sea Wave	0	0	-1	-1	0	1	0	-1
238	abysm01.par	深渊沼泽道具释放	Sea Wave	0	0	-1	-1	0	1	0	-1
239	abysm03.par	深渊沼泽命中	Sea Wave	0	0	-1	-1	0	1	0	-1
240	abysm04.par	深渊沼泽持续	Sea Wave	0	0	-1	-1	0	1	0	-1
241	spa.par	Healing Spring 释放	Sea Wave	0	0	-1	-1	0	1	0	-1
242	spaf.par	Healing Spring 道具释放	Sea Wave	0	0	-1	-1	0	1	0	-1
243	firelighting01.par	Cursed Fire 道具释放	海浪	0	0	-1	-1	0	1	0	-1
244	shadowf01.par	Shadow Insignia 释放	Sea Wave	0	0	-1	-1	0	1	0	-1
245	shadowi.par	Shadow Insignia Item Used	Sea Wave	0	0	-1	-1	0	1	0	-1
246	barrierf.par	Energy Shield 释放	Sea Wave	0	0	-1	-1	0	1	0	-1
247	barrieri.par	Energy Shield 道具释放	海浪	0	0	-1	-1	0	1	0	-1
248	barriert.par	Energy Shield 命中	Sea Wave	0	0	-1	-1	0	1	0	-1
249	poisonf.par	毒标释放	Sea Wave	0	0	-1	-1	0	1	0	-1
250	poisonh.par	毒标持续	Sea Wave	0	0	-1	-1	0	1	0	-1
251	dancet.par	Shadow Slash 命中	Sea Wave	0	0	-1	-1	0	1	0	-1
252	dancef.par	Shadow Slash 释放	Sea Wave	0	0	-1	-1	0	1	0	-1
253	danceh.par	Shadow Slash 持续	Sea Wave	0	0	-1	-1	0	1	0	-1
254	01000033.par	Magma Bullet 释放	Sea Wave	0	0	-1	-1	0	1	0	-1
255	01000033(a).par	Magma Bullet 道具释放	Sea Wave	0	0	-2	-1	0	1	0	-1
256	01000016.par	爆头道具释放	Sea Wave	0	0	-1	-1	0	1	0	-1
257	04000008.par	爆头道具释放发射	Sea Wave	0	0	-2	-1	0	1	0	-1
258	01020013(a).par	Headshot命中	海浪	0	0	-1	-1	0	1	0	-1
259	01040007.par	Enfeeble 道具持续	Sea Wave	0	0	-1	-1	0	1	0	-1
260	04000011.par	Enfeeble 道具释放发射	Sea Wave	0	0	-2	-1	0	1	0	-1
261	01020013(b).par	Enfeeble 命中	Sea Wave	0	0	-1	-1	0	1	0	-1
262	spurtice.par	雪女喷霜	Sea Wave	0	0	-2	-1	0	1	0	-1
263	01060008.par	龟王起浪受击	Sea Wave	0	0	-2	-1	0	1	0	-1
264	01060006.par	遗迹守护者受击	Sea Wave	0	0	-2	-1	0	1	0	-1
265	cowfire.par	Conch Ray 波	海浪	0	0	-2	-1	0	1	0	-1
266	cowdust.par	Conch Ray 尘土	海浪	0	0	-2	-1	0	1	0	-1
267	cowtarget.par	Conch Ray 受击	海浪	0	0	-2	-1	0	1	0	-1
268	spagh.par	Healing Spring 地面持续	Sea Wave	0	0	-1	-1	0	1	0	-1
269	strik.par	Lightning Bolt 释放	Sea Wave	0	0	-1	-1	0	1	0	-1
270	strhurt.par	Lightning Bolt 受击	Sea Wave	0	0	-2	-1	0	1	0	-1
271	strc.par	Lightning Bolt 持续	Sea Wave	0	0	-1	-1	0	1	0	-1
272	wind.par	Tornado 释放	海浪	0	0	-1	-1	0	1	0	-1
273	whurt.par	Tornado 命中	海浪	0	0	-1	-1	0	1	0	-1
274	windc.par	Tornado 持续	海浪	0	0	-1	-1	0	1	0	-1
275	aglef.par	Algae Persists	Sea Wave	0	0	-1	-1	0	1	0	-1
276	agle.par	海藻命中	Sea Wave	0	0	-2	-1	0	1	0	-1
277	aglec.par	海藻持續	Sea Wave	0	0	-1	-1	0	1	0	-1
278	eddy.par	漩渦釋放	Sea Wave	0	0	-2	-1	0	1	0	-1
279	eddyhurt.par	漩渦命中	Sea Wave	0	0	-2	-1	0	1	0	-1
280	eddyc.par	漩渦持續	Sea Wave	0	0	-2	-1	0	1	0	-1
281	fog.par	迷霧釋放	Sea Wave	0	0	-1	-1	0	1	0	-1
282	foghurt.par	迷霧命中	Sea Wave	0	0	-2	-1	0	1	0	-1
283	fogc.par	迷霧持續	Sea Wave	0	0	-1	-1	0	1	0	-1
284	cannon01.par	普通砲彈釋放	Sea Wave	0	0	-2	-1	0	1	0	-1
285	obey.par	順風釋放	Sea Wave	0	0	-2	-1	0	1	0	-1
286	obeyhurt.par	順風命中	Sea Wave	0	0	-1	-1	0	1	0	-1
287	obeyc.par	順風持續	Sea Wave	0	0	-1	-1	0	1	0	-1
288	levin.par	Lightning Curtain 釋放	Sea Wave	0	0	-2	-1	0	1	0	-1
289	levinh.par	Lightning Curtain 命中	Sea Wave	0	0	-2	-1	0	1	0	-1
290	levinc.par	Lightning Curtain 地面命中	Sea Wave	0	0	-2	-1	0	1	0	-1
291	00000004.par	风区	Sea Wave	0	0	-2	-1	0	1	0	-1
292	00000006.par	雷区	Sea Wave	0	0	-2	-1	0	1	0	-1
293	00000005.par	雾区	Sea Wave	0	0	-2	-1	0	1	0	-1
294	tiger.par	Tiger Roar Persists	Sea Wave	0	0	-1	-1	0	1	0	-1
295	tigerc.par	Tiger Roar 持续	Sea Wave	0	0	-1	-1	0	1	0	-1
296	icearrow.par	冰箭释放	Sea Wave	0	0	-1	-1	0	1	0	-1
297	icearrowc.par	冰箭持续	Sea Wave	0	0	-1	-1	0	1	0	-1
298	parrow.par	Venom Arrow 释放	Sea Wave	0	0	-1	-1	0	1	0	-1
299	stoneshieldi.par	石盾释放	Sea Wave	0	0	-1	-1	0	1	0	-1
300	stoneshieldt.par	石盾命中	Sea Wave	0	0	-1	-1	0	1	0	-1
301	shijia.par	石盾持续	Sea Wave	0	0	-1	-1	0	1	0	-1
302	rousec.par	Rousing 持续	海浪	0	0	-1	-1	0	1	0	-1
303	rouse.par	Rousing 释放	海浪	0	0	-1	-1	0	1	0	-1
304	shield.par	Break Armor 释放	Sea Wave	0	0	-1	-1	0	1	0	-1
305	shieldh.par	Break Armor 命中	Sea Wave	0	0	-1	-1	0	1	0	-1
306	pojia.par	Break Armor 持续	Sea Wave	0	0	-1	-1	0	1	0	-1
307	steel.par	Will of Steel 释放	Sea Wave	0	0	-1	-1	0	1	0	-1
308	toil.par	Fishing 释放	海浪	0	0	-1	-1	0	1	0	-1
309	toilh.par	Salvage sunken ship	Sea Wave	0	0	-1	-1	0	1	0	-1
310	iron.par	Unleash Salvage Persists	Sea Wave	0	0	-1	-1	0	1	0	-1
311	01050038.par	守护天使释放	Sea Wave	0	0	10	-1	0	1	0	-1
312	01050041.par	Goddess 思念体释放	海浪	0	0	-1	-1	0	1	0	-1
313	01050042.par	Goddess 思念体释放	海浪	0	0	-1	-1	0	1	0	-1
314	01050045.par	Goddess 思念体命中	海浪	0	0	-2	-1	0	1	0	-1
315	cannon04.par	普通炮弹2	Sea Wave	0	0	-1	-1	0	1	0	-1
316	cannon02.par	普通炮弹1	Sea Wave	0	0	-1	-1	0	1	0	-1
317	cxsw1.par	死亡嘲笑释放	Sea Wave	0	0	-1	-1	0	1	0	-1
318	cxsw2.par	死亡嘲笑命中	Sea Wave	0	0	-1	-1	0	1	0	-1
319	cxsw3.par	死亡嘲笑持续	Sea Wave	0	0	-1	-1	0	1	0	-1
320	xn.par	血怒释放	Sea Wave	0	0	-1	-1	0	1	0	-1
321	xncx.par	血怒持续	Sea Wave	0	0	-1	-1	0	1	0	-1
322	xnjz.par	血怒命中	Sea Wave	0	0	-1	-1	0	1	0	-1
323	nbjz.par	Mud Hit Rate	Sea Wave	0	0	-1	-1	0	1	0	-1
324	nbcx.par	泥巴持续	Sea Wave	0	0	-1	-1	0	1	0	-1
325	dzsf.par	地震释放	Sea Wave	0	0	-1	-1	0	1	0	-1
326	dzmz.par	地震命中	Sea Wave	0	0	-1	-1	0	1	0	-1
327	bwsf.par	冰吻释放	Sea Wave	0	0	-1	-1	0	1	0	-1
328	bwsj.par	冰吻受击	Sea Wave	0	0	-1	-1	0	1	0	-1
329	bwcx.par	冰吻持续	Sea Wave	0	0	-1	-1	0	1	0	-1
330	frsf.par	风刃释放	Sea Wave	0	0	-1	-1	0	1	0	-1
331	frsfb.par	风刃释放b	Sea Wave	0	0	-1	-1	0	1	0	-1
332	frsj.par	Wind Blade Attack	Sea Wave	0	0	-1	-1	0	1	0	-1
333	mosterlight.par	巨人首领刀光	Sea Wave	0	0	-1	-1	0	1	0	-1
334	stars.par	Hairstyling successful	Sea Wave	0	0	-1	-1	0	1	0	-1
335	starsb.par	Hairstyling failed	Sea Wave	0	0	-1	-1	0	1	0	-1
336	cfsf.par	Taunt 释放	海浪	0	0	-1	-1	0	1	0	-1
337	cfsj.par	Taunt Attack	Sea Wave	0	0	-1	-1	0	1	0	-1
338	pxsf.par	Roar 释放	Sea Wave	0	0	-1	-1	0	1	0	-1
339	sgfire.par	上古BOSS绿火释放	Sea Wave	0	0	-1	-1	0	1	0	-1
340	sgbjg.par	Ancient BOSS Laser Attack Persists	Sea Wave	0	0	-1	-1	0	1	0	-1
341	sgfiremz.par	上古BOSS绿火命中	Sea Wave	0	0	-1	-1	0	1	0	-1
342	pkkp.par	PK炮塔开炮	Sea Wave	0	0	-1	-1	0	1	0	-1
343	mfbda.par	魔法暴动持续	Sea Wave	0	0	-1	-1	0	1	0	-1
344	mfbdb.par	魔法暴动释放	Sea Wave	0	0	-1	-1	0	1	0	-1
345	jlcg.par	Forging successful	Sea Wave	0	0	-1	-1	0	1	0	-1
346	jlsb.par	Forging failed	Sea Wave	0	0	-1	-1	0	1	0	-1
347	corpse.par	Corpse Attack	Sea Wave	0	0	-2	-1	0	1	0	-1
348	corpse2jq.par	僵尸攻击聚气	Sea Wave	0	0	-1	-1	0	1	0	-1
349	corpse2.par	Corpse Attack Persists	Sea Wave	0	0	-1	-1	0	1	0	-1
350	hdrmf.par	狐道士魔法释放	Sea Wave	0	0	-1	-1	0	1	0	-1
351	hdrmffx.par	狐道士魔法飞行	Sea Wave	0	0	-1	-1	0	1	0	-1
352	hymf.par	狐妖魔法释放	Sea Wave	0	0	-1	-1	0	1	0	-1
353	hymffx.par	狐妖魔法飞行	Sea Wave	0	0	-1	-1	0	1	0	-1
354	ilui.par	i	Sea Wave	0	0	-1	-1	0	1	0	-1
355	ilul.par	love	Sea Wave	0	0	-1	-1	0	1	0	-1
356	iluu.par	u	Sea Wave	0	0	-1	-1	0	1	0	-1
357	iluwo.par	Me	Sea Wave	0	0	-1	-1	0	1	0	-1
358	iluai.par	Love	Sea Wave	0	0	-1	-1	0	1	0	-1
359	iluni.par	你	Sea Wave	0	0	-1	-1	0	1	0	-1
360	denglong.par	Lantern	Sea Wave	0	0	-1	-1	0	1	0	-1
361	yanhua.par	Firework a1	Sea Wave	0	0	-1	-1	0	1	0	-1
362	yanhuaa.par	Firework a2	Sea Wave	0	0	-1	-1	0	1	0	-1
363	yanhuae.par	Firework a3	Sea Wave	0	0	-1	-1	0	1	0	-1
364	yanhuared.par	Firework b1	Sea Wave	0	0	-1	-1	0	1	0	-1
365	yanhuaared.par	Firework b2	Sea Wave	0	0	-1	-1	0	1	0	-1
366	yanhuaered.par	Firework b3	Sea Wave	0	0	-1	-1	0	1	0	-1
367	yanhuablue.par	Firework c1	Sea Wave	0	0	-1	-1	0	1	0	-1
368	yanhuaablue.par	Firework c2	Sea Wave	0	0	-1	-1	0	1	0	-1
369	yanhuaeblue.par	Firework c3	Sea Wave	0	0	-1	-1	0	1	0	-1
370	ilu.par	Love you so	Sea Wave	0	0	-1	-1	0	1	0	-1
371	mh.par	Fascinate	海浪	0	0	-1	-1	0	1	0	-1
372	hxsf.par	狐仙魔法释放	Sea Wave	0	0	-1	-1	0	1	0	-1
373	hxhl.par	狐仙葫芦释放	Sea Wave	0	0	-1	-1	0	1	0	-1
374	tt.par	图腾攻击释放	Sea Wave	0	0	-1	-1	0	1	0	-1
375	qzmf.par	Sachem's Witchcraft	Sea Wave	0	0	-1	-1	0	1	0	-1
376	icedragonhit01.par	冰龙1受击	Sea Wave	0	0	-1	-1	0	1	0	-1
377	icedragonhit02.par	冰龙2受击	Sea Wave	0	0	-1	-1	0	1	0	-1
378	xr2.par	蟹绒持续	Sea Wave	0	0	-1	-1	0	1	0	-1
379	kj.par	Black Dragon Terror	Sea Wave	0	0	-1	-1	0	1	0	-1
380	bhsd.par	冰河时代	Sea Wave	0	0	-1	-1	0	1	0	-1

381	hlsw.par	狐狸死亡	Sea Wave	0	0	6	-1	0	1	0	-1
382	hfjd.par	基地红死亡	Sea Wave	0	0	6	-1	0	1	0	-1
383	lfjd.par	Blue Base Destroyed	Sea Wave	0	0	6	-1	0	1	0	-1
384	pkpt.par	PK炮台红死亡	Sea Wave	0	0	6	-1	0	1	0	-1
385	pkptb.par	PK炮台蓝死亡	Sea Wave	0	0	6	-1	0	1	0	-1
386	zp.par	帐篷红死亡	Sea Wave	0	0	6	-1	0	1	0	-1
387	zpb.par	帐篷蓝死亡	Sea Wave	0	0	6	-1	0	1	0	-1
388	xmb.par	小卖部红死亡	Sea Wave	0	0	6	-1	0	1	0	-1
389	xmbb.par	小卖部蓝死亡	Sea Wave	0	0	6	-1	0	1	0	-1
390	slbz.par	Water Mine Explosion	Sea Wave	0	0	6	-1	0	1	0	-1
391	ptbz.par	炮台死亡	Sea Wave	0	0	6	-1	0	1	0	-1
392	01050021.par	Blacksmith Mars	Sea Wave	0	0	6	-1	0	1	0	-1
393	01060003.par	小冰龙死亡	Sea Wave	0	0	-1	-1	0	1	0	-1
394	01060004.par	守卫死亡	Sea Wave	0	0	-1	-1	0	1	0	-1
395	01060002.par	冰龙死亡	Sea Wave	0	0	-1	-1	0	1	0	-1
396	01060005.par	Carnivore Flower	Sea Wave	0	0	-1	-1	0	1	0	-1
397	01060001.par	火灵	Sea Wave	0	0	-1	-1	0	1	0	-1
398	ghost.par	npc死亡	Sea Wave	0	0	-1	-1	0	1	0	-1
399	born.par	npc出生	Sea Wave	0	0	-1	-1	0	1	0	-1
400	03000001.par	Thundorian Staff	Sea Wave	3	0	4	-1	0	0	0	-1
401	03000002.par	Staff of Life	Sea Wave	3	0	4	-1	0	0	0	-1
402	03000003.par	Magical Staff	Sea Wave	3	0	4	-1	0	0	0	-1
403	redstone01.par	红宝石1	Sea Wave	3	0	4,5	-1	0	0	0	-1
404	redstone02.par	红宝石2	Sea Wave	3	0	4	-1	0	0	0	-1
405	redstone03.par	红宝石3	Sea Wave	3	0	4	-1	0	0	0	-1
