// 场景物件类型表												
// 类型目前共有7种												
//SCENEOBJ_TYPE_NORMAL      = 0   普通物体												
//SCENEOBJ_TYPE_POSE              = 1  场景互动动作物体												
//SCENEOBJ_TYPE_TERRAIN       = 2  地形障碍标记物体												
//SCENEOBJ_TYPE_POINTLIGHT = 3  点光源												
//SCENEOBJ_TYPE_ENVLIGHT     =  4  环境光源												
//SCENEOBJ_TYPE_FOG                =  5  发雾器												
//SCENEOBJ_TYPE_ENVSOUND   = 6  Surround Sound Effect												
//平行光照 : 是否受平行光的影响												
//点光照     : 是否受点光源影响												
// Style: 编辑器里美术风格分类												
//ID	模型文件名	中文名称	类型	类型参数1	类型参数2	Special Parameter	平行光影响	点光源影响	风格	Sign	背景色开关	受地表阴影印象
133	sl-bd014-04.lmo	沙岚码头栏杆01	0	0	0	0	1	0	3	0	1	0
134	sl-bd014-05.lmo	沙岚码头石柱01	0	0	0	0	1	0	3	0	1	0
135	sl-bd017-01.lmo	沙岚城墙01	0	0	0	0	1	0	3	0	1	0
136	sl-bd017-02.lmo	沙岚城墙02	0	0	0	0	1	0	3	0	1	0
137	sl-bd017-03.lmo	Shaitan Wall 03	0	0	0	0	1	0	3	0	1	0
138	sl-bd032.lmo	Shaitan Chair 01	0	0	0	0	1	0	3	0	1	0
139	sl-bd033.lmo	沙岚桌子01	0	0	0	0	1	0	3	0	1	0
140	sl-bd034.lmo	Shaitan Parasol 01	0	0	0	0	1	0	3	0	1	0
141	sl-bd026-09.lmo	沙岚高架水渠09	0	0	0	0	1	1	3	0	1	1
142	sl-bd030.lmo	沙岚旧城废墟01	0	0	0	0	1	1	3	0	1	1
143	sl-bd028-01.lmo	沙岚废豪宅01	0	0	0	0	1	1	3	0	1	1
144	sl-bd028-02.lmo	沙岚废豪宅02	0	0	0	0	1	1	3	0	1	1
145	sl-bd031.lmo	沙岚残破雕像01	0	0	0	0	1	1	3	0	1	1
146	sl-bd028-03.lmo	沙岚废豪宅03	0	0	0	0	1	1	3	0	1	1
147	sl-bd028-04.lmo	沙岚废豪宅04	0	0	0	0	1	1	3	0	1	1
148	sl-bd035.lmo	沙岚木船01	0	0	0	0	1	1	3	0	1	1
149	sl-bd036.lmo	Shaitan Ship Factory 01	0	0	0	0	1	1	3	0	1	1
150	sl-bd037.lmo	沙岚中央水池01	0	0	0	0	0	0	3	0	1	0
151	bl-bd001.lmo	Icicle Grocery 01	0	0	0	0	1	0	4	0	1	1
152	bl-bd002.lmo	冰狼商会01	0	0	0	0	1	0	4	0	1	1
153	bl-bd003.lmo	冰狼堡垒01	0	0	0	0	1	0	4	0	1	1
154	bl-bd004.lmo	冰狼民居01	0	0	0	0	1	0	4	0	1	1
155	bl-bd005-01.lmo	冰狼废墟01	0	0	0	0	1	0	4	0	1	1
156	bl-bd005-02.lmo	冰狼废墟02	0	0	0	0	1	0	4	0	1	1
157	bl-bd005-03.lmo	Icicle Rubbles 03	0	0	0	0	1	0	4	0	1	1
158	bl-bd006.lmo	冰狼铁匠铺01	0	0	0	0	1	1	4	0	1	1
159	bl-bd007.lmo	冰狼旅馆01	0	0	0	0	1	0	4	0	1	1
160	bl-bd008-01.lmo	冰狼围墙01	0	0	0	0	1	0	4	0	1	1
161	bl-bd008-02.lmo	冰狼围墙02	0	0	0	0	1	0	4	0	1	1
162	bl-bd008-03.lmo	冰狼围墙03	0	0	0	0	1	0	4	0	1	1
163	bl-bd008-04.lmo	冰狼围墙04	0	0	0	0	1	0	4	0	1	1
164	bl-bd009.lmo	雪小箱子01	0	0	0	0	1	1	4	0	1	1
165	bl-bd010.lmo	雪大箱子01	0	0	0	0	1	1	4	0	1	1
166	bl-bd011.lmo	雪小木桶01	0	0	0	0	1	1	4	0	1	1
167	bl-bd012.lmo	Snow Stump 01	0	0	0	0	1	1	4	0	1	1
168	bl-bd013.lmo	Icicle Castle 01	0	0	0	0	1	1	4	0	1	1
169	bl-bd014.lmo	冰狼雕像01	0	0	0	0	0	1	4	0	1	1
170	bl-bd015.lmo	冰狼雕像02	0	0	0	0	0	1	4	0	1	1
171	bl-bd016.lmo	冰狼水池01	0	0	0	0	0	0	4	0	1	0
172	bl-bd017.lmo	Icicle Castle Pillar 01	0	0	0	0	1	0	4	0	1	1
173	nml-bd142.lmo	雾01	0	0	0	0	0	0	9	0	1	0
174	nml-bd143.lmo	Fire 01	0	0	0	0	0	0	9	0	1	0
175	nml-bd144.lmo	Ice Tree 01	0	0	0	0	0	0	8	0	1	1
176	nml-bd145.lmo	秋岛小木屋01	0	0	0	0	1	1	9	0	1	1
177	nml-bd146.lmo	秋岛祭坛01	0	0	0	0	1	1	9	0	1	1
178	nml-bd147.lmo	小小账篷01	0	0	0	0	1	1	9	0	1	1
179	nml-bd148-01.lmo	二号迷宫外部门01	0	0	0	0	1	1	9	0	1	1
180	nml-bd148-02.lmo	二号迷宫外部门02	0	0	0	0	1	1	9	0	1	1
181	nml-bd149.lmo	飘落Bamboo Leaf 01	0	0	0	0	1	1	9	0	1	1
182	nml-bd136.lmo	黄花花草01	0	0	0	0	1	1	8	0	1	1
183	nml-bd135.lmo	胖绿树01	0	0	0	0	1	1	8	0	1	1
184	nml-bd137.lmo	胖树01	0	0	0	0	1	1	8	0	1	1
185	mz-bd025.lmo	废矿迷宫内部门01	0	0	0	0	0	1	7	0	1	1
186	mz-bd024.lmo	Lamp 01	0	0	0	0	1	1	7	0	1	1
187	nml-bd134.lmo	绿双树01	0	0	0	0	1	1	8	0	1	1
188	nml-bd133.lmo	Crimson Twin Tree 01	0	0	0	0	1	1	8	0	1	1
189	nml-bd132.lmo	红椰树02	0	0	0	0	1	1	8	0	1	1
190	nml-bd131.lmo	红椰树01	0	0	0	0	1	1	8	0	1	1
191	mz-bd023.lmo	小矿车01	0	0	0	0	1	1	7	0	1	1
192	mz-bd022.lmo	迷宫黑墙01	0	0	0	0	0	1	7	0	1	1
193	mz-bd021.lmo	废矿迷宫部件09	0	0	0	0	0	1	7	0	1	1
194	mz-bd020.lmo	废矿迷宫部件08	0	0	0	0	0	1	7	0	1	1
195	mz-bd019.lmo	废矿迷宫部件07	0	0	0	0	0	1	7	0	1	1
196	mz-bd018.lmo	废矿迷宫部件06	0	0	0	0	0	1	7	0	1	1
197	mz-bd017.lmo	废矿迷宫部件05	0	0	0	0	0	1	7	0	1	1
198	mz-bd016.lmo	废矿迷宫部件04	0	0	0	0	0	1	7	0	1	1
199	mz-bd015.lmo	废矿迷宫部件03	0	0	0	0	0	1	7	0	1	1
200	mz-bd014.lmo	废矿迷宫部件02	0	0	0	0	0	1	7	0	1	1
201	mz-bd013.lmo	废矿迷宫部件01	0	0	0	0	0	1	7	0	1	1
202	mz-bd011-06.lmo	废矿迷宫门部件06	0	0	0	0	1	1	7	0	1	0
203	mz-bd011-05.lmo	废矿迷宫门部件05	0	0	0	0	1	1	7	0	1	0
204	mz-bd011-04.lmo	废矿迷宫门部件04	0	0	0	0	1	1	7	0	1	1
205	mz-bd011-03.lmo	废矿迷宫门部件03	0	0	0	0	1	1	7	0	1	1
206	mz-bd011-02.lmo	废矿迷宫门部件02	0	0	0	0	1	1	7	0	1	0
207	mz-bd011-01.lmo	废矿迷宫门部件01	0	0	0	0	1	1	7	0	1	0
208	nml-bd130.lmo	Conch 01	0	0	0	0	1	1	9	0	1	1
209	nml-bd129.lmo	火堆01	0	0	0	0	1	1	9	0	1	1
210	nml-bd128-04.lmo	雪山组件04	0	0	0	0	0	0	9	0	1	0
211	nml-bd128-03.lmo	雪山组件03	0	0	0	0	0	0	9	0	1	0
212	nml-bd128-02.lmo	雪山组件02	0	0	0	0	0	0	9	0	1	0
213	nml-bd128-01.lmo	雪山组件01	0	0	0	0	0	0	9	0	1	0
214	nml-bd127.lmo	冰原大雪树01	0	0	0	0	1	0	8	0	1	1
215	nml-bd126.lmo	红枫树01	0	0	0	0	1	0	8	0	1	1
216	nml-bd125.lmo	Snow Maple Tree 01	0	0	0	0	1	0	8	0	1	1
217	nml-bd124.lmo	新雪草01	0	0	0	0	0	0	8	0	0	1
218	nml-bd123.lmo	森林雪树02	0	0	0	0	1	1	8	0	1	1
219	nml-bd122.lmo	森林雪树01	0	0	0	0	1	1	8	0	1	1
220	nml-bd121.lmo	枯雪树01	0	0	0	0	1	1	8	0	1	1
221	nml-bd120.lmo	特效星01	0	0	0	0	1	1	9	0	1	1
222	nml-bd119.lmo	Snowy Weird Tree 01	0	0	0	0	1	1	8	0	1	1
223	nml-bd118.lmo	冰原大雪树02	0	0	0	0	1	1	8	0	1	1
224	nml-bd117.lmo	冰原雪球树01	0	0	0	0	1	1	8	0	1	1
225	nml-bd116.lmo	沙草树01	0	0	0	0	1	1	8	0	1	1
226	nml-bd115.lmo	蕨草01	0	0	0	0	1	1	8	0	1	1
227	nml-bd114.lmo	沙怪树01	0	0	0	0	1	1	8	0	1	1
228	nml-bd113.lmo	仙人掌01	0	0	0	0	1	1	8	0	1	1
229	nml-bd112.lmo	大沙石01	0	0	0	0	1	0	9	0	1	1
230	nml-bd111.lmo	Sand 01	0	0	0	0	1	0	9	0	1	1
231	nml-bd110.lmo	沙草02	0	0	0	0	0	0	8	0	0	1
232	nml-bd109.lmo	沙草01	0	0	0	0	0	0	8	0	0	1
233	mz-bd005.lmo	水池03	0	0	0	0	0	1	7	0	1	1
234	nml-bd108.lmo	新木桶组01	0	0	0	0	1	1	9	0	1	1
235	nml-bd107.lmo	新木桶01	0	0	0	0	1	1	9	0	1	1
236	nml-bd106.lmo	草地高墙02	0	0	0	0	1	0	7	0	1	1
237	nml-bd105.lmo	草地高墙01	0	0	0	0	1	0	7	0	1	1
238	nml-bd104.lmo	倒龙骨01	0	0	0	0	1	1	9	0	1	1
239	nml-bd103.lmo	龙Bone 骨01	0	0	0	0	1	1	9	0	1	1
240	nml-bd102.lmo	龙骨01	0	0	0	0	1	1	9	0	1	1
241	nml-bd101.lmo	大树桩01	0	0	0	0	1	1	8	0	1	1
242	nml-bd100.lmo	沙漠花01	0	0	0	0	1	1	8	0	1	1
243	nml-bd099.lmo	沙漠树01	0	0	0	0	1	1	8	0	1	1
244	nml-bd098.lmo	树球花01	0	0	0	0	1	1	8	0	1	1
245	nml-bd097.lmo	New Grass 04	0	0	0	0	1	0	8	0	1	1
246	mz-bd010.lmo	石柱01	0	0	0	0	0	1	7	0	1	1
247	nml-bd096.lmo	Lumber Mill 01	0	0	0	0	1	0	9	0	1	0
248	nml-bd095.lmo	Blossom 02	0	0	0	0	1	0	8	0	1	0
249	mz-bd009.lmo	水池06	0	0	0	0	0	1	7	0	1	1
250	mz-bd008.lmo	水池05	0	0	0	0	0	1	7	0	1	1
251	mz-bd007.lmo	地宫雕像01	0	0	0	0	0	1	7	0	1	1
252	mz-bd006.lmo	水池04	0	0	0	0	0	1	7	0	1	1
253	mz-bd011.lmo	迷宫墙03	0	0	0	0	0	1	7	0	1	1
254	mz-bd004.lmo	水池02	0	0	0	0	0	1	7	0	1	1
255	mz-bd003.lmo	水池01	0	0	0	0	0	1	7	0	1	1
256	mz-bd002.lmo	墙02	0	0	0	0	0	1	7	0	1	1
257	mz-bd001.lmo	墙01	0	0	0	0	0	1	7	0	1	1
258	nml-bd094.lmo	Flower 01	0	0	0	0	1	0	8	0	1	0
259	nml-bd093.lmo	新草03	0	0	0	0	1	0	8	0	1	1
260	nml-bd092.lmo	新树01	0	0	0	0	1	0	8	0	1	1
261	nml-bd091.lmo	Grass 01	0	0	0	0	1	0	8	0	1	0
262	nml-bd090.lmo	喷泉01	0	0	0	0	0	0	9	0	1	0
263	nml-bd089.lmo	石凳01	0	0	0	0	1	0	9	0	1	1
264	nml-bd088.lmo	Peach Tree 02	0	0	0	0	1	0	8	0	1	0
265	nml-bd087.lmo	樱树01	0	0	0	0	1	0	8	0	1	0
266	nml-bd086.lmo	新草02	0	0	0	0	1	1	8	0	1	1
267	nml-bd085.lmo	新草01	0	0	0	0	1	1	8	0	1	1
268	nml-bd084.lmo	Flower 07	0	0	0	0	0	0	8	0	0	1
269	nml-bd083.lmo	Crimson Tree 01	0	0	0	0	1	0	8	0	1	1
270	nml-bd082.lmo	千年树01	0	0	0	0	1	0	8	0	1	0
271	nml-bd081.lmo	Oil Barrel 01	0	0	0	0	1	0	9	0	1	0
272	nml-bd080.lmo	小黄Lamp 01	0	0	0	0	1	0	9	0	1	0
273	nml-bd079.lmo	红绿Lamp 01	0	0	0	0	1	0	9	0	1	0
274	nml-bd078.lmo	Turning Edge 01	0	0	0	0	1	0	9	0	1	0
275	nml-bd077.lmo	6米压边01	0	0	0	0	1	0	9	0	1	0
276	nml-bd076.lmo	2米压边01	0	0	0	0	1	0	9	0	1	0
277	nml-bd075.lmo	小冰柱01	0	0	0	0	0	0	9	0	1	1
278	nml-bd074.lmo	大冰柱01	0	0	0	0	0	0	9	0	1	1
279	nml-bd073.lmo	老树01	0	0	0	0	1	1	8	0	1	1
280	nml-bd072.lmo	竹子02	0	0	0	0	1	0	8	0	1	1
281	nml-bd071.lmo	竹子01	0	0	0	0	1	0	8	0	1	1
282	nml-bd070.lmo	旋转光柱01	0	0	0	0	1	1	9	0	1	1
283	nml-bd069.lmo	海上小卖部	0	0	0	0	1	0	9	0	1	0
284	nml-bd068.lmo	雪石头01	0	0	0	0	1	0	9	0	1	1
285	nml-bd067.lmo	小船02	0	0	0	0	1	0	9	0	1	1
286	nml-bd066.lmo	大雪石01	0	0	0	0	1	0	9	0	1	1
287	sl-bd040.lmo	沙岚旧城门墙03	0	0	0	0	1	0	3	0	1	1
288	sl-bd041.lmo	沙岚旧城门墙04	0	0	0	0	1	0	3	0	1	1
289	nml-bd063.lmo	红茫草01	0	0	0	0	1	0	8	0	1	0
290	nml-bd062.lmo	Forest Trees 02	0	0	0	0	1	1	8	0	1	1
291	nml-bd061.lmo	森林树01	0	0	0	0	1	1	8	0	1	1
292	nml-bd060.lmo	Flower 06	0	0	0	0	0	0	8	0	0	1
293	nml-bd059.lmo	Bridge 01	0	0	0	0	1	1	9	0	1	1
294	nml-bd058.lmo	小椅子01	0	0	0	0	1	0	9	0	1	0
295	nml-bd057.lmo	Rock 02	0	0	0	0	1	1	9	0	1	1
296	nml-bd056.lmo	Rock 01	0	0	0	0	1	1	9	0	1	1
297	nml-bd055.lmo	Flower 05	0	0	0	0	0	0	8	0	0	1
298	nml-bd054.lmo	树12	0	0	0	0	1	1	8	0	1	1
299	nml-bd053.lmo	树11	0	0	0	0	0	0	8	0	1	0
300	nml-bd052.lmo	树10	0	0	0	0	0	0	8	0	1	0
301	nml-bd051.lmo	船头01	0	0	0	0	1	0	9	0	1	1
302	nml-bd048.lmo	Bench 02	0	0	0	0	1	0	9	0	1	1
303	nml-bd047.lmo	市场01	0	0	0	0	1	0	1	0	1	0
304	nml-bd046.lmo	路标02	0	0	0	0	1	0	9	0	1	0
305	nml-bd045.lmo	路标01	0	0	0	0	1	0	9	0	1	0
306	nml-bd044.lmo	木箱桶木板动画03	0	0	0	0	1	0	9	0	1	1
307	nml-bd043.lmo	木箱桶木板动画02	0	0	0	0	1	0	9	0	1	1
308	nml-bd042.lmo	木箱桶木板动画01	0	0	0	0	1	0	9	0	1	1
309	nml-bd041.lmo	Metal Fence Pillar 01	0	0	0	0	1	0	9	0	1	0
310	nml-bd040.lmo	铁栅栏01	0	0	0	0	1	0	9	0	1	0
311	nml-bd039.lmo	Pergola 01	0	0	0	0	1	0	9	0	1	0
312	nml-bd038.lmo	桌子01	0	0	0	0	1	0	9	0	1	0
313	nml-bd037.lmo	藤椅01	0	0	0	0	1	0	9	0	1	0
