//精炼效果编号	特效名称	流光编号	特效 1(Lance)	特效 1(Carsise)	特效 1(Phyllis)	特效 1(Ami)	dummy1	特效 2(Lance)	特效 2(Carsise)	特效 2(Phyllis)	特效 2(Ami)	dummy2	特效 2(Lance)	特效 2(Carsise)	特效 2(Phyllis)	特效 2(Ami)	dummy3	特效 2(Lance)	特效 2(Carsise)	特效 2(Phyllis)	特效 2(Ami)	dummy4
33	枪增益加攻击	3	322	0	322	0	3	307	0	307	0	1	0	0	0	0	0	0	0	0	0	0
34	枪防御加攻击	1	320	0	320	0	3	307	0	307	0	1	0	0	0	0	0	0	0	0	0	0
35	Gun Attack Defense Bonus	2	338	0	338	0	3	339	0	339	0	1	0	0	0	0	0	0	0	0	0	0
36	弓攻击	1	340	0	340	0	0	341	0	341	0	4	341	0	341	0	5	0	0	0	0	0
37	弓增益	3	342	0	342	0	0	343	0	343	0	4	343	0	343	0	5	0	0	0	0	0
38	Bow Defense	2	344	0	344	0	0	345	0	345	0	4	345	0	345	0	5	0	0	0	0	0
39	弓防御+攻击	1	347	0	347	0	0	341	0	341	0	4	341	0	341	0	5	0	0	0	0	0
40	Bow Defense + Bonus	2	346	0	346	0	0	345	0	345	0	4	345	0	345	0	5	0	0	0	0	0
41	Bow Attack + Bonus	3	348	0	348	0	0	341	0	341	0	4	341	0	341	0	5	0	0	0	0	0
42	弓攻防增	3	349	0	349	0	0	345	0	345	0	4	341	0	341	0	5	0	0	0	0	0
43	法杖毒	4	0	0	350	350	4	0	0	351	351	4	0	0	352	352	0	0	0	0	0	0
44	枪毒	4	354	0	354	0	1	353	0	353	0	0	0	0	0	0	0	0	0	0	0	0
45	Sword Poison	4	365	365	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	巨毒	4	364	364	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	匕首毒	4	366	0	366	366	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	剑毒攻	4	356	356	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	Sword Poison Bonus	4	359	359	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	剑毒防	4	362	362	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	巨毒攻	4	355	355	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	巨毒增	4	358	358	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	巨毒防	4	361	361	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	匕首毒攻	4	357	0	357	357	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	匕首毒增	4	360	0	360	360	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	匕首毒防	4	363	0	363	363	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	法杖毒加防御	2	0	0	350	350	4	0	0	301	301	4	0	0	310	310	0	0	0	0	0	0
58	法杖增益加毒	3	0	0	350	350	4	0	0	309	309	4	0	0	302	302	0	0	0	0	0	0
59	Poisoned Staff Attack	1	0	0	350	350	4	0	0	312	312	4	0	0	313	313	0	0	0	0	0	0
60	Gun Defense Added Poison	2	320	0	320	0	3	354	0	354	0	1	0	0	0	0	0	0	0	0	0	0
61	枪增益加毒	3	322	0	322	0	3	354	0	354	0	1	0	0	0	0	0	0	0	0	0	0
62	枪毒加攻击	1	353	0	353	0	3	307	0	307	0	1	0	0	0	0	0	0	0	0	0	0
63	Sword Poison Resist	4	367	367	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	剑攻增毒	4	368	368	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	剑毒增防	4	369	369	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	巨剑攻毒防	4	370	370	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	Greatsword Attack Bonus Poison	4	371	371	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	巨剑毒增防	4	372	372	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	匕首攻毒防	4	373	0	373	373	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	匕首攻增毒	4	374	0	374	374	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	匕首毒增防	4	375	0	375	375	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	枪攻毒防	1	376	0	376	0	3	354	0	354	0	1	0	0	0	0	0	0	0	0	0	0
73	Gun Bonus Poison	1	377	0	377	0	3	354	0	354	0	1	0	0	0	0	0	0	0	0	0	0
74	枪毒增防	3	338	0	338	0	3	354	0	354	0	1	0	0	0	0	0	0	0	0	0	0
75	法杖攻毒防	1	0	0	379	379	4	0	0	301	301	4	0	0	378	378	0	0	0	0	0	0
76	法杖攻增毒	3	0	0	381	381	4	0	0	301	301	4	0	0	380	380	0	0	0	0	0	0
77	法杖毒防增	2	0	0	383	383	4	0	0	301	301	4	0	0	382	382	0	0	0	0	0	0
78	斧头毒	4	384	384	0	0	4	392	392	0	0	0	0	0	0	0	0	0	0	0	0	0
79	斧头攻	1	385	385	0	0	4	394	394	0	0	0	0	0	0	0	0	0	0	0	0	0
80	斧头防	2	386	386	0	0	4	393	393	0	0	0	0	0	0	0	0	0	0	0	0	0
81	Axe Bonus	3	387	387	0	0	4	394	394	0	0	0	0	0	0	0	0	0	0	0	0	0
82	Axe Bonus Defense	3	386	386	0	0	4	393	393	0	0	0	0	0	0	0	0	0	0	0	0	0
83	斧头增攻	3	385	385	0	0	4	394	394	0	0	0	0	0	0	0	0	0	0	0	0	0
84	斧头攻防	1	386	386	0	0	4	393	393	0	0	0	0	0	0	0	0	0	0	0	0	0
85	Axe Poison Bonus	3	384	384	0	0	4	392	392	0	0	0	0	0	0	0	0	0	0	0	0	0
86	斧头毒攻	4	385	385	0	0	4	394	394	0	0	0	0	0	0	0	0	0	0	0	0	0
87	斧头毒防	4	386	386	0	0	4	393	393	0	0	0	0	0	0	0	0	0	0	0	0	0
88	斧头攻防增	1	391	391	0	0	4	394	394	0	0	0	0	0	0	0	0	0	0	0	0	0
89	斧头攻毒防	2	389	389	0	0	4	393	393	0	0	0	0	0	0	0	0	0	0	0	0	0
90	斧头攻增毒	3	388	388	0	0	4	394	394	0	0	0	0	0	0	0	0	0	0	0	0	0
91	Axe Poison Resist Bonus	4	390	390	0	0	4	394	394	0	0	0	0	0	0	0	0	0	0	0	0	0																						
92	弯匕首攻击	1	305	0	305	305	2	396	0	396	396	2	0	0	0	0	0	0	0	0	0	0
93	弯匕首防御	2	319	0	319	319	2	395	0	395	395	2	0	0	0	0	0	0	0	0	0	0
94	弯匕首增益	3	316	0	316	316	2	397	0	397	397	2	0	0	0	0	0	0	0	0	0	0
95	弯匕首毒	4	366	0	366	366	2	398	0	398	398	2	0	0	0	0	0	0	0	0	0	0
96	弯匕首增益加防御	3	328	0	328	328	2	395	0	395	395	2	0	0	0	0	0	0	0	0	0	0
97	弯匕首增益加攻击	1	331	0	331	331	2	396	0	396	396	2	0	0	0	0	0	0	0	0	0	0
98	弯匕首攻击加防御	2	334	0	334	334	2	395	0	395	395	2	0	0	0	0	0	0	0	0	0	0
99	弯匕首毒攻	4	357	0	357	357	2	396	0	396	396	2	0	0	0	0	0	0	0	0	0	0
100	弯匕首毒增	4	360	0	360	360	2	397	0	397	397	2	0	0	0	0	0	0	0	0	0	0
101	Dagger Poison Resist	4	363	0	363	363	2	395	0	395	395	2	0	0	0	0	0	0	0	0	0	0
102	弯匕首攻防增	1	337	0	337	337	2	395	0	395	395	2	0	0	0	0	0	0	0	0	0	0
103	Dagger Attack Poison Resist	4	373	0	373	373	2	395	0	395	395	2	0	0	0	0	0	0	0	0	0	0
104	弯匕首攻增毒	4	374	0	374	374	2	396	0	396	396	2	0	0	0	0	0	0	0	0	0	0
105	弯匕首毒增防	4	375	0	375	375	2	395	0	395	395	2	0	0	0	0	0	0	0	0	0	0
