//编号	技能名称	标识是否是生活技能	职业	左手武器限制	右手武器限制	身体装备限制	贝壳使用检测	技能阶段	技能类型	有益/有害	学习等级	前置技能	技能点消耗	施放者形态	适用地点	释放距离	作用对象	攻击模式	角度	半径	技能区域形状	技能前期处理公式	技能添加地面状态公式	技能sp公式	耐久度消耗公式	冲值消耗公式	技能区域公式	施放阶段公式	效果阶段公式	正效果公式	反效果公式	绑定的可手动移除状态编号	自身参数	自身效果	消耗物品	持续时间	目标参数	溅射参数	目标持续效果	溅射持续效果	变身编号	召唤编号	释放时间	再施放时间	伤害表现	动作播放	动作	keyframe	攻击音效	人物dummy	人物特效	基准值	道具dummy	道具特效	道具特效2	飞行keyfram	人物dummy	道具dummy	飞行特效	飞行速度	受击音效	dummy	人物受击特效	特效时间点	地面受击特效	水面受击特效	ICON	技能播放次数	操作执行命令	说明	效果	消耗	备注																																		
0011	Cannon Barrage	1	3,10	1,-1	1,-1	1,-1	-1	3	1	0	-1	-1	1	1	3	1000	4	2	45	1000	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-40	0	0	0	hp=hp(1)-sklv(0)*300	0	0	0	0	0	0	800	2	1	1	-1	115	1	137	0	-1	0,0	0,0	-1	2	-1	1017	1400	139	-1	118	0	0	0	0	0	0	Release a volley of cannon attacks at target	0	0	0
0012	Sound Burst	1	3,10	1,0;1,6	1,0;1,6	1,-1	-1	3	1	0	-1	-1	1	1	1	450	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-20	0	0	0	hp=hp(1)-sklv(0)*20	0	0	0	0	0	0	1000	1	1	11	0	116	9	119	0	-1	0,0	0,0	-1	-1	-1	0	0	140	-1	138	0	0	0	0	0	0	Release a force that damages target from a distance	0	0	0
0013	Summon	1	4,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	1	1000	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-40	0	0	0	0	0	0	0	0	36	0	100000	2	1	11	-1	117	9	120	0	-1	0,0	0,0	0	9	-1	1018	500	141	-1	139	0	0	0	0	0	0	Summons a monster to fight for you	0	0	0
0014	Disguise	1	4,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	1	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-40	0	0	0	0	0	0	0	36	0	0	100000	1	1	11	-1	118	9	140	0	-1	0,0	0,0	-1	-1	-1	0	0	142	-1	0	0	0	0	0	0	0	Morph into summoned monster	0	0	0
0015	Water Surge	1	4,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	3	1000	4	2	360	500	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-20	0	0	0	hp=hp(1)-sklv(0)*300	0	0	0	0	0	0	2000	2	1	11	-1	119	-1	141	0	-1	0,0	0,0	0	2	-1	1019	600	143	2	121	0	0	0	0	0	0	Attacks target with a gush of water	0	0	0
0016	Cyclone	1	4,10	1,-1	1,-1	1,-1	-1	3	1	0	-1	-1	1	1	3	1500	4	2	360	200	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-30	0	0	10000	hp=hp(1)-sklv(0)*75	0	0	0	0	0	0	5000	2	1	11	-1	120	0	142	0	-1	0,0	0,0	0	9	-1	1020	600	-1	2	122	0	0	0	0	0	0	Create whirlpools that damages any targets within contact	0	0	0
0017	Sacred Ray	1	6,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	3	1000	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-10	0	0	0	hp=hp(1)+sklv(0)*50	0	0	0	0	0	0	10000-sklv(0)*500	1	1	11	-1	121	-1	123	0	-1	0,0	0,0	-1	-1	-1	0	0	145	-1	124	0	0	0	0	0	0	Heals a small amount of HP and damages undead	0	0	0
0018	Guardian Angel	1	6,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	3	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-30	0	0	0	0	0	0	0	0	0	0	5000	0	1	11	-1	122	-1	143	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	Summon an angel to fight for you. Appearances change with skill level	0	0	0
0019	Benediction	1	6,10	1,-1	1,-1	1,-1	-1	3	1	0	-1	-1	1	1	3	1000	2	2	360	300	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-50	0	0	10000	hp=hp(1)+sklv(0)*30	0	0	0	0	0	0	12000	1	1	11	-1	123	9	125	0	-1	0,0	0,0	-1	-1	-1	0	0	147	2	126	0	0	0	0	0	0	Bring an area of friendly targets out of abnormal status	0	0	0
0020	Invoke	1	6,10	1,-1	1,-1	1,-1	-1	3	1	0	-1	-1	1	1	3	1000	2	2	360	300	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-40	0	0	10000	sp=sp(1)+sklv(0)*30	0	0	0	0	0	0	20000	1	1	11	-1	124	2	144	0	-1	0,0	0,0	-1	-1	-1	0	0	148	2	145	0	0	0	0	0	0	Recover TP of friendly targets within a certain area while stationary	0	0	0
0022	Fallen Pharaoh	1	-1,10	1,-1	1,-1	1,-1	-1	5	1	0	-1	-1	1	1	1	400	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	-1	-1	-1	147	0	-1	0,0	0,0	-1	-1	-1	0	0	150	-1	0	0	0	0	0	0	0	Morph into a Mummy Pharaoh	0	0	0
0023	Venom Cloud	1	-1,10	1,-1	1,-1	1,-1	-1	5	2	0	-1	-1	1	1	1	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,-1	0	-1	hp=hp(1)-sklv(0)*50	0	0	0	0	0	0	0	1	1	1	-1	-1	-1	128	0	-1	0,0	0,0	-1	-1	-1	0	0	151	-1	0	0	0	0	0	0	0	Create an area of poisonous cloud that slows and poisons	0	0	0
0024	Fireshield	1	-1,10	1,-1	1,-1	1,-1	-1	5	1	0	-1	-1	1	1	3	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	-1	128	2	148	0	-1	0,0	0,0	-1	-1	-1	0	0	152	2	153	0	0	0	0	0	0	Create a burning shield that damages targets within contact	0	0	0
0025	Bare Hand	1	-1,10	1,0;1,22;1,29	1,0	1,-1	-1	0	0	0	-1	-1	1	1	3	100	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	118	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	119	2	131	0	0	0	0	1	0	0	0	0	0
0026	Dual Implosion	1	-1,10	1,-1	1,-1	1,-1	-1	1	0	0	-1	-1	1	1,2	3	800	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)*2	0	0	0	0	0	0	0	0	0	0	0	1	1	11	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	117	2	130	0	0	0	0	0	0	0	0	0	0
0027	Cannon Shot	1	-1,10	1,-1	1,-1	1,-1	-1	3	0	0	-1	-1	1	2	3	1000	4	2	360	0	4	0	0	0	0	0	SkillArea_Circle_Paodan	0	Skill_Paodan_End	0	0	0	sp=sp(0)-30	0	0	0	hp=hp(1)-sklv(0)*200	0	0	0	0	0	0	1000	2	1	7	-1	146	2	284	0	-1	0,0	0,0	-1	2	-1	1049	1600	147	-1	0	0	316	315	0	0	0	Fragments will deal damage to targets within range	0	0	0
0028	Sword	1	-1,10	1,0;1,22	1,1	1,-1	-1	0	0	0	-1	-1	1	1	3	150	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	124	2	131	0	0	0	0	1	0	0	0	0	0
0029	Greatsword	1	-1,10	1,-1	1,2	1,-1	-1	0	0	0	-1	-1	1	1	3	200	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	126	2	131	0	0	0	0	1	0	0	0	0	0
0030	Bow	1	-1,10	1,3	1,-1	1,-1	-1	0	0	0	-1	-1	1	1	3	900	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Range_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	2	1	7,8,9	0	128	-1	0	0	-1	0,0	0,0	0	6	-1	1022	4000	-1	2	131	0	0	0	0	1	0	0	0	0	0
0031	Firegun	1	-1,10	1,-1	1,4	1,-1	-1	0	0	0	-1	-1	1	1	3	700	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Range_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	2	1	7,8,9	0	130	-1	0	0	-1	0,0	0,0	0	-1	1	1015	4000	-1	2	131	0	0	0	0	1	0	0	0	0	0
0032	Blade	1	-1,10	1,-1	1,5	1,-1	-1	0	0	0	-1	-1	1	1	3	200	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	136	2	131	0	0	0	0	1	0	0	0	0	0
0033	Boxing Gloves	1	-1,10	1,-1	1,6	1,-1	-1	0	0	0	-1	-1	1	1	3	100	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	138	2	131	0	0	0	0	1	0	0	0	0	0
0034	Dagger	1	-1,10	1,-1	1,7	1,-1	-1	0	0	0	-1	-1	1	1	3	100	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	134	2	131	0	0	0	0	1	0	0	0	0	0
0035	Gold Pouch	1	-1,10	1,-1	1,8	1,-1	-1	0	0	0	-1	-1	1	1	3	200	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	140	2	131	0	0	0	0	1	0	0	0	0	0
0036	Short Staff	1	-1,10	1,-1	1,9	1,-1	-1	0	0	0	-1	-1	1	1	3	100	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	132	2	131	0	0	0	0	1	0	0	0	0	0
0037	Hammer	1	-1,10	1,-1	1,10	1,-1	-1	0	0	0	-1	-1	1	1	3	150	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	144	2	131	0	0	0	0	1	0	0	0	0	0
0038	Dual Weapon	1	-1,10	1,1	1,1	1,-1	-1	0	0	0	-1	-1	1	1	3	200	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	150	2	131	0	0	0	0	1	0	0	0	0	0
0039	Login	0	-1,10	1,-1	1,-1	1,-1	-1	0	0	1	-1	-1	1	2	1	1500	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	land.tga	0	3,4	0	0	0	0
0040	Set Sail	0	-1,10	1,-1	1,-1	1,-1	-1	0	0	1	-1	-1	1	1	2	1500	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	ship.tga	0	1,2	0	0	0	0
0042	Ink Blast	1	-1,10	1,-1	1,-1	1,-1	-1	-1	-1	0	-1	-1	1	1	3	500	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Range_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Gwptjn	2	1	7	-1	151	-1	0	0	-1	0,0	0,0	0	2	-1	1024	1600	-1	2	226	0	0	0	0	0	0	0	0	0	0
0043	Tempest Slash	1	1,10	1,1	1,1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Jfz_Use	Skill_Jfz_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0011.tga	0	0	0	0	0	0
0044	Gun Research	1	2,10	1,-1	1,4	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Qxyj_Use	Skill_Qxyj_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0038.tga	0	0	0	0	0	0
0045	Angel Blessing	1	6,10	1,-1	1,0;1,9	1,-1	-1	2	1	1	-1	-1	1	1	1	600	2	1	0	0	0	0	0	SkillSp_Tsqy	0	0	0	0	Skill_Tsqy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Tsqy	0	1	7	0	-1	-1	0	0	1	150,0	0,0	-1	-1	-1	0	0	-1	-1	164	0	0	0	s0061.tga	0	0	0	0	0	0
0046	Parlay Hit	1	1,10	1,-1	1,2	1,-1	-1	2	2	0	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Smyb_Use	Skill_Smyb_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0003.tga	0	0	0	0	0	0
0047	Phantom Slash	1	1,10	1,1	1,1	1,-1	-1	2	1	0	-1	-1	1	1	1	200	4	1	0	0	0	0	0	SkillSp_Gz	0	0	0	0	Skill_Gz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	1	7	0	-1	-1	0	0	1	122,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0015.tga	0	0	0	0	0	0
0048	Cure	1	1,10	1,1	1,1	1,-1	-1	2	1	0	-1	-1	1	1	1	200	4	1	0	0	0	0	0	SkillSp_Jd	0	0	0	0	Skill_Jd_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Jd	0	1	11	0	-1	-1	0	0	1	126,0	0,0	-1	-1	-1	0	0	-1	-1	128	0	0	0	s0019.tga	0	0	0	0	0	0
0049	Blind	1	1,10	1,1	1,1	1,-1	-1	2	1	0	-1	-1	1	1	1	200	4	1	0	0	0	0	0	SkillSp_Cm	0	0	0	0	Skill_Cm_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Zjcm	0	1	7	0	-1	-1	0	0	1	126,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0020.tga	0	0	0	0	0	0
0050	Protective Shield	1	1,10	1,22	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Zhzd_Use	Skill_Zhzd_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0022.tga	0	0	0	0	0	0
0051	Frost Shield	1	1,10	1,22	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	SkillSp_Bshd	0	0	0	0	Skill_Bshd_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Bshd	0	1	7	0	11	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	129	0	0	0	s0024.tga	0	0	0	0	0	0
0052	Refined Gunpowder	1	2,10	1,-1	1,4	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Jlhy_Use	Skill_Jlhy_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0052.tga	0	0	0	0	0	0
0053	Attack Weakness	1	2,10	1,-1	1,4	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Rdgj_Use	Skill_Rdgj_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0040.tga	0	0	0	0	0	0
0054	Angel Blessing	1	6,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Qy_Use	Skill_Qy_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0049.tga	0	0	0	0	0	0
0055	Benediction	1	6,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Zf_Use	Skill_Zf_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0050.tga	0	0	0	0	0	0
0056	Inferno Wings	1	6,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	600	2	1	0	0	0	0	0	SkillSp_Lyzy	0	0	0	0	Skill_Lyzy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Lyzy	0	1	11	0	-1	-1	0	0	1	150,0	0,0	-1	-1	-1	0	0	-1	-1	151	0	0	0	s0055.tga	0	0	0	0	0	0
0057	Holy Beam	1	6,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	600	2	1	0	0	0	0	0	SkillSp_Shzg	0	0	0	0	Skill_Shzg_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Shzg	0	1	11	0	-1	-1	137	0	1	150,0	0,0	-1	-1	-1	0	0	-1	-1	153	0	0	0	s0056.tga	0	0	0	0	0	0
0058	Holy Heraldry	1	6,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	600	2	1	0	0	0	0	0	SkillSp_Szwz	0	0	0	0	Skill_Szwz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	1	11	0	-1	-1	0	0	1	150,0	0,0	-1	-1	-1	0	0	-1	-1	162	0	0	0	s0060.tga	0	0	0	0	0	0
0059	Ray of Luck	1	6,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	600	2	1	0	0	0	0	0	SkillSp_Xyzg	0	0	0	0	Skill_Xyzg_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	1	11	0	-1	-1	0	0	1	167,0	0,0	-1	-1	-1	0	0	-1	-1	168	0	0	0	s0063.tga	0	0	0	0	0	0
0060	Traversing	1	2,10	1,3	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	0	4	1	0	0	0	0	0	SkillSp_Clcy	0	0	0	0	Skill_Clcy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Clcy	0	1	7	0	-1	-1	137	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	2	103	0	0	0	s0030.tga	0	0	0	0	0	0
0061	Inferno Blast	1	2,10	1,-1	1,4	1,-1	-1	2	1	0	-1	-1	1	1	1	600	4	2	0	0	2	0	0	SkillSp_Ssd	0	0	SkillArea_Sector_Ssd	0	Skill_Ssd_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Hyps	2	1	7	0	-1	-1	145	0	1	108,0	0,0	0	-1	1	2000	5000	-1	2	109	0	0	0	s0045.tga	0	0	0	0	0	0
0062	Sword Mastery	1	1,10;8,10;9,10	1,-1	1,1;1,2	1,-1	-1	2	2	1	-1	66,2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Jssl_Use	Skill_Jssl_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0062.tga	0	0	Increases attack power when using Sword	Increases by 4 points per skill level	Passive	0
0063	Will of Steel	1	1,10;8,10;9,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	66,2	1	1	1	0	1	1	0	0	0	0	0	SkillSp_Gtyz	0	0	0	0	Skill_Gtyz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Gtyz	0	1	12	0	-1	-1	307	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0063.tga	0	0	Increase defense of character	Increases by 3 points per skill level for 15s	Fix consumption of 10 sp	0
0064	Strengthen	1	8,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	67,2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Qhtz_Use	Skill_Qhtz_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0064.tga	0	0	Increases character Max HP value	Increases by 20 points per skill level	Passive	0
